name	id	level	crp_n	crp_estimate	crp_se	crp_p.value	crp_q.value	neut_n	neut_estimate	neut_se	neut_p.value	neut_q.value	leuk_n	leuk_estimate	leuk_se	leuk_p.value	leuk_q.value
Ligilactobacillus salivarius	HG3A.0919	species	8117	0.0358704445635511	0.0114341064426375	0.00171222671910728	0.0114498010386129	8092	0.00987888980259666	0.00430267421021121	0.0217024279096613	0.103861619281951	8098	0.00800860175776677	0.00318780269398069	0.0120155486716355	0.0805041760999581
Oscillibacter sp.	HG3A.0046	genus	8117	-0.0294056749506113	0.00945632691979864	0.0018798180809663	0.0114498010386129	8092	-0.00656471617752502	0.00356447984066313	0.0655556869157272	0.219611551167686	8098	-0.0050859403553494	0.00263901171919056	0.0539885070730471	0.189879871992896
Lachnospiraceae sp.	HG3A.0930	family	8117	0.0137146104368002	0.00979385562697218	0.16145399321787	0.327800531684766	8092	0.00291838575894822	0.00368283976968228	0.428134724585841	0.585408705045945	8098	0.00121392447531141	0.00272882525244425	0.656438514158262	0.84790528143993
Firmicutes sp.	HG3A.1222	phylum	8117	-0.00502409178774252	0.00908771323936434	0.580385416720579	0.704744408114574	8092	0.00271391713801551	0.00341877415523743	0.427319505419158	0.585408705045945	8098	0.00246087604724832	0.00253304364804424	0.331324124923818	0.560694716906637
Streptococcus gordonii	HG3A.0713	species	8117	0.0372174158973281	0.00971114797247087	0.000127851545821446	0.00142767559500615	8092	0.00951612491408367	0.00365666237328467	0.00927435096050074	0.0690423904837278	8098	0.00473793980523418	0.00270920297005296	0.0803586684521018	0.199408547640401
Eubacteriales sp.	HG3A.0511	order	8117	0.00735707809394177	0.00959404547475024	0.443200559153656	0.618634113818645	8092	0.000386449010605719	0.00365167951412646	0.915721690915707	0.915721690915707	8098	0.0031029682345262	0.00270540991653379	0.251437010334264	0.495478814482226
Oscillospiraceae sp.	HG3A.1212	family	8117	0.0156468284386878	0.00915759824302112	0.0875607963440649	0.225637436732783	8092	0.00478203397409007	0.00345353907430296	0.166190279958416	0.341081652610994	8098	0.00437838330981455	0.00255260368125104	0.0863361719101505	0.206590125642146
Streptococcus agalactiae	HG3A.1733	species	8117	0.00223110267045114	0.00907476861972677	0.805798633006111	0.856960450974753	8092	0.000695805969860847	0.00341394392942189	0.838504889103226	0.906126251127679	8098	0.00103504595834617	0.00252950400915775	0.682411758781982	0.853621691828053
Parabacteroides distasonis	HG3A.0024	species	8117	-0.020525417229123	0.00960878548939609	0.0327008360478669	0.109547800760354	8092	0.000527831291052654	0.00362417076197276	0.884207741038417	0.915721690915707	8098	0.000219560478371693	0.00268468033558583	0.93482154802744	0.956373959403214
Oscillospiraceae sp.	HG3A.0142	family	8117	0.00491047367167692	0.00950175651512578	0.60531260696317	0.704744408114574	8092	-0.00339637944964159	0.00358389418628067	0.343321938245789	0.538822738622796	8098	-0.000106251144088695	0.00265542646056106	0.968083896006063	0.968083896006063
Intestinimonas sp.	HG3A.1018	genus	8117	0.00925163600635807	0.00918563472588094	0.313876287760509	0.53922336615267	8092	0.0047657688500067	0.00345646330820354	0.167995440838251	0.341081652610994	8098	0.00247052114568742	0.00256102085913538	0.334743114571126	0.560694716906637
Eubacteriales sp.	HG3A.1129	order	8117	-0.0131856997448611	0.00899777234341211	0.142840180415531	0.299071627745018	8092	-0.00148248332736849	0.00338529094223092	0.661456869592309	0.805774732048813	8098	-0.00251041726421441	0.00250816260570395	0.316906095565219	0.558755484286043
Eubacteriales sp.	HG3A.0721	order	8117	0.0039757420676855	0.00940416018345954	0.672478715731683	0.75093456590038	8092	-0.00132500380782	0.0035494133271368	0.708933485367375	0.818940405510589	8098	-0.00224616347070464	0.00262973798244997	0.39305331948141	0.642306644030597
Eggerthellales sp.	HG3A.1909	order	8117	0.0242411794682733	0.00895558815893126	0.00680753000288318	0.0290133509762646	8092	0.00560302257019401	0.00336994820458365	0.0964232084906926	0.269181457036517	8098	0.00302969151417591	0.00249713165449464	0.225063127070298	0.456946348900301
Limosilactobacillus oris	HG3A.1462	species	8117	0.00211928397425924	0.00934936841982814	0.820680952804386	0.859150372467092	8092	0.00410343941626091	0.00351710663059982	0.24336294297722	0.429087294196677	8098	0.0021259708276763	0.00260595055427699	0.414630958409065	0.661435100319222
Eubacteriales sp.	HG3A.0190	order	8117	0.0374097665608912	0.00931628247787014	5.98571627390363e-05	0.000802085980703086	8092	0.00809467394838181	0.00350967022006873	0.0211143362371826	0.103861619281951	8098	0.00700170914379285	0.00260003652530947	0.0070976037461719	0.0797946831964498
Blautia obeum	HG3A.0009	species	8117	0.0207303115491742	0.00949032588395436	0.0289646273195667	0.102138422653209	8092	0.00485995671348437	0.00357404802288577	0.173934752363248	0.342753776715813	8098	0.00395641221244119	0.00264777160841309	0.135151945734774	0.299072161870435
Eubacteriales sp.	HG3A.1303	order	8117	-0.0079739403091585	0.00911313011284586	0.381603137720112	0.581077505164716	8092	0.00273020604656707	0.0034283676913502	0.425848084642496	0.585408705045945	8098	0.00102014472560497	0.00254023875882084	0.687993602368879	0.853621691828053
Lachnospiraceae sp.	HG3A.0433	family	8117	0.00500115826039434	0.00980651331755106	0.610077248815602	0.704744408114574	8092	-0.00191250416424625	0.00369884090105648	0.605132143950381	0.750812104531029	8098	0.000434922236075791	0.00274051101224329	0.873908361369226	0.944384842124808
Eubacteriales sp.	HG3A.0935	order	8117	-0.0148486130792586	0.00946459348473111	0.116720435442681	0.269664454298607	8092	-0.0087846142495837	0.0035905482280881	0.0144428078135909	0.0879698294100539	8098	-0.00598456965303437	0.00266042730691057	0.0245093849330592	0.117294913608212
Bifidobacterium breve	HG3A.1387	species	8117	0.0169450964693717	0.00938384571362926	0.0709914508630977	0.190257088313102	8092	0.00569235943905685	0.00353025894995845	0.106904126738179	0.28650305965832	8098	0.00292451668179175	0.00261593243477272	0.263616366134503	0.504637043743192
Rothia mucilaginosa	HG3A.0559	species	8117	0.034732830940635	0.00933531934539397	0.000200128225259883	0.00191551301320174	8092	0.00702521053881827	0.00351437372954457	0.0456430091629984	0.169893422995605	8098	0.00534940397227645	0.00260372518488779	0.0399580156912823	0.178479136754394
Oscillibacter sp.	HG3A.0243	genus	8117	0.0109236845246393	0.00986063725265048	0.267978497267872	0.485258359917498	8092	0.00261920172047368	0.0037118030407973	0.48043186309831	0.631155584854643	8098	0.000546333290282774	0.00275016651174081	0.842537995194902	0.944384842124808
Flintibacter sp.	HG3A.0922	genus	8117	-0.0060140245018752	0.00943465956193189	0.523856905722188	0.662234201573332	8092	-0.000505995894353992	0.00354986000542	0.886657352404632	0.915721690915707	8098	0.000348103265767783	0.00263020252564667	0.894712020050157	0.951519132434294
Eubacteriales sp.	HG3A.0100	order	8117	-0.0284952342121937	0.00981591951058071	0.00370664999107452	0.017738967814428	8092	-0.00726925336248842	0.00369969846725032	0.0494694554488153	0.174444921845822	8098	-0.00678162792504169	0.00273913689636682	0.0133134562397942	0.0810910516423826
Bacteria sp.	HG3A.0920	superkingdom	8117	0.00367732156978631	0.00918592088538125	0.688930454965461	0.756694106273539	8092	0.00186848988786909	0.0034556468641911	0.588725202594817	0.744237520261372	8098	0.000465561640041641	0.0025604560542137	0.855722634524152	0.944384842124808
Oscillibacter sp.	HG3A.0372	genus	8117	0.00870751951655234	0.00946023049430564	0.357373735922355	0.56409884263675	8092	0.00364151936279565	0.00356032116897659	0.306430482132089	0.513271057571249	8098	0.000191611403679621	0.00263806411527994	0.942099721203166	0.956373959403214
Eubacteriales sp.	HG3A.0759	order	8117	-0.00676764425005314	0.00951672409437231	0.477023408163368	0.639211366938913	8092	-0.00810743090594688	0.00357932847119016	0.0235351407141256	0.105123628523094	8098	-0.00489737249345445	0.00265227664668872	0.0648598137707014	0.191775827440047
Bifidobacterium dentium	HG3A.0579	species	8117	0.0234719677351981	0.00997045512151366	0.0185891169829737	0.0691928243255133	8092	0.00810850089122229	0.00375148727777481	0.0306934444204191	0.120968280951064	8098	0.00529840157060634	0.00277979069729562	0.0566805588038497	0.189879871992896
Leuconostoc lactis	HG3A.1458	species	8117	0.00285418254098494	0.00894285208534967	0.749615078435884	0.810067907342004	8092	-0.00317167878843447	0.00336410399747899	0.345811608369854	0.538822738622796	8098	-0.000602656165729186	0.00249271762801698	0.808967154324655	0.934496540340549
Eubacteriales sp.	HG3A.0084	order	8117	-0.0256778958061366	0.00950695118478915	0.00692856142716767	0.0290133509762646	8092	-0.00849831215467665	0.00357998112737502	0.0176276511145719	0.0984210520563596	8098	-0.00685966443561555	0.00265170192784964	0.0097021848716073	0.0805041760999581
Desulfovibrio piger	HG3A.0240	species	8117	-0.0236173658746638	0.00934705888980196	0.0115326141379833	0.045452067484993	8092	-0.00977759294712981	0.00351935605868739	0.00547834471259788	0.0458811369680073	8098	-0.00504957076639413	0.00260603761443761	0.0527021031435866	0.189879871992896
Lachnospiraceae sp.	HG3A.1066	family	8117	0.0144542548830792	0.00907439329480056	0.11123079246572	0.269178424362806	8092	0.000383927119545015	0.00341425513394536	0.91047081286069	0.915721690915707	8098	-0.00128349647291388	0.00252971359780272	0.611910482183106	0.819960046125362
Oscillospiraceae sp.	HG3A.1278	family	8117	-0.00659005359825908	0.00903336808158333	0.465702957581163	0.636777513427304	8092	0.000781727788096538	0.00347592436495845	0.822064547118268	0.902923355031541	8098	0.000442156399050329	0.00257540015294908	0.86368990171672	0.944384842124808
Lactobacillus gasseri	HG3A.0884	species	8117	0.0177671090566764	0.00942600350510696	0.0594791432443428	0.173265330320477	8092	0.0119070701026845	0.00354433991034013	0.000784619330081025	0.0168665920029197	8098	0.00839098164492284	0.00262631772038305	0.0014039543114387	0.031354979622131
Traorella massiliensis	HG3A.0669	species	8117	-0.00805553715897633	0.00988472013712618	0.415126149963853	0.618076712168403	8092	-0.00308474894049763	0.00371886385443946	0.406853822174908	0.585408705045945	8098	-0.00213946762257665	0.00275543934345233	0.437504955111635	0.66155855922638
Enterocloster asparagiformis	HG3A.0466	species	8117	0.0372037047693051	0.00901612957797082	3.72313119992986e-05	0.000623624475988251	8092	0.00273156294096393	0.00339530974594578	0.421126147819722	0.585408705045945	8098	0.00140602796779486	0.00251575182357566	0.5762526689554	0.787937322857383
Lachnospiraceae sp.	HG3A.1323	family	8117	0.00849018279368183	0.00931401439464891	0.36203358557284	0.56409884263675	8092	0.0025467741423088	0.00350403780170862	0.467362968523404	0.626266377821361	8098	0.000237707192921976	0.0025963287645148	0.927053813789975	0.956373959403214
Butyricicoccus sp. OM04-18BH	HG3A.0139	species	8117	0.00488695618879478	0.00941887342736024	0.603881681322903	0.704744408114574	8092	-0.00609686019721736	0.00355191633453454	0.0861097137288727	0.250841339992803	8098	-0.00474733088725585	0.0026313291034268	0.0712444757227475	0.192178901549147
Eubacteriales sp.	HG3A.0505	order	8117	-0.0337963356768597	0.00935880098719021	0.000306675288029103	0.00256840553724374	8092	-0.00884585706325126	0.00352421274650805	0.0120920034412582	0.0810164230564301	8098	-0.00528444146479785	0.00261154590753149	0.0430558237284758	0.180296261862993
Eubacteriales sp.	HG3A.0439	order	8117	-0.0131347843714481	0.00951408038361924	0.167452129526713	0.329979196420288	8092	-0.011358447341492	0.00357884603543353	0.00151044107488833	0.0168665920029197	8098	-0.0075187402011782	0.00265190818269575	0.00459097288013183	0.0768987957422082
Ruminococcus bicirculans	HG3A.0067	species	8117	0.00855763706262216	0.009386798364289	0.361971424646931	0.56409884263675	8092	0.0042202595860195	0.0035354999121155	0.232638313968815	0.42126397394353	8098	0.00200349793363164	0.0026191594301364	0.444330375599807	0.66155855922638
Oscillospiraceae sp.	HG3A.0616	family	8117	-0.00631250500345751	0.00965357847383213	0.513193071357474	0.661229534249053	8092	-0.00514677625664451	0.00363180842246875	0.15648154257464	0.338202043629061	8098	-0.0019032826202781	0.00269104450580782	0.479422276568041	0.683431755958696
Eubacteriales sp.	HG3A.0854	order	8117	0.00725984439194816	0.00942588003589264	0.441202076097801	0.618634113818645	8092	0.00137765356138055	0.00354628395946887	0.697672673237396	0.818940405510589	8098	0.00116290781284316	0.00262751731431046	0.65807574081905	0.84790528143993
Eubacteriales sp.	HG3A.0092	order	8117	-0.0183341415045287	0.0094211900538886	0.0516833486940155	0.157399289204502	8092	-0.00626623585434304	0.0035522833794379	0.0777699777928104	0.248123262481824	8098	-0.00524588612460885	0.00263170264392229	0.0462579663666839	0.182310808621637
Eubacteriales sp.	HG3A.0270	order	8117	-0.00441974421629355	0.00934003674695146	0.636080475565445	0.722328675642115	8092	-0.00042938550574876	0.00351836769933534	0.902869541752018	0.915721690915707	8098	0.0027086896496161	0.00260603527822519	0.298654487595531	0.54793937533813
Clostridia sp.	HG3A.0479	class	8117	-0.00904042560523139	0.00930801224426673	0.331452237347308	0.555182497556741	8092	-0.00211729173729602	0.00350477735555466	0.545783814543325	0.703221453353899	8098	-0.00155941288755043	0.00259675311531598	0.548174083781344	0.765159658611459
[Clostridium] spiroforme	HG3A.0259	species	8117	0.044977379618717	0.00939587277710004	1.72398861136984e-06	3.85024123205931e-05	8092	0.00545775380576748	0.00354200869820041	0.123389656100982	0.317965652260223	8098	0.00368474887119075	0.00262264358440257	0.160067707516225	0.335141762612097
Eubacteriales sp.	HG3A.1250	order	8117	-0.00152062779771438	0.00899992839147016	0.865832395711319	0.892473392502437	8092	0.00587214701885843	0.00338519982431117	0.082841020279258	0.250841339992803	8098	0.00565833163829881	0.00250787494913648	0.0240835226913405	0.117294913608212
Clostridium phoceensis	HG3A.0014	species	8117	0.0198931796155353	0.00979405937917101	0.0422731078898177	0.134871344219894	8092	0.00549054098192836	0.00368838746171884	0.1366318422325	0.323620150683409	8098	0.00632503057105352	0.00273150607592802	0.0206063052974216	0.115051871243937
Eubacteriales sp.	HG3A.0133	order	8117	0.00754036839027293	0.00948323827086611	0.42656391656547	0.618634113818645	8092	0.00520348983166557	0.00356888715400967	0.144875975568073	0.323620150683409	8098	0.00489627253822924	0.0026434894083587	0.0640340229037657	0.191775827440047
Bifidobacterium pullorum subsp. gallinarum	HG3A.1171	subspecies	8117	0.0121850002055792	0.0091691225435867	0.183913444058551	0.352062878626369	8092	0.00524553593753386	0.00345059284670575	0.128504487743569	0.318881506622931	8098	0.00455904585214133	0.00255653371892676	0.0745768871683258	0.192178901549147
Eubacteriales sp.	HG3A.0226	order	8117	-0.0276570228847734	0.00921174828608471	0.00268721178207257	0.0138494761076048	8092	-0.00507809752686973	0.00348313267290743	0.144904545082123	0.323620150683409	8098	-0.00460754028356461	0.0025804467597441	0.0742087231040077	0.192178901549147
Oscillospiraceae sp.	HG3A.0072	family	8117	-0.0291949062586508	0.00952410938963749	0.00218128331085479	0.0121788318189392	8092	-0.0144290334366093	0.00359315731222968	5.98151904956107e-05	0.00204668193436456	8098	-0.009115751588948	0.00266178049317926	0.000618625462322962	0.0207239529878192
Peptoniphilus harei	HG3A.1800	species	8117	0.0061397154911593	0.00916770407341928	0.503061190441569	0.660884309011473	8092	0.00748618785675124	0.00344808520222423	0.0299519824813724	0.120968280951064	8098	0.00470078334902268	0.00255503879974993	0.0658334930018071	0.191775827440047
Prevotella marseillensis	HG3A.0424	species	8117	-0.014614324825999	0.00951044159674275	0.124415988977871	0.277862375383912	8092	0.00106846423613315	0.00358846640015978	0.765902101777011	0.855257346984329	8098	0.00207113904529884	0.00265614013359951	0.435558169007729	0.66155855922638
Pseudoflavonifractor sp. An184	HG3A.0253	species	8117	0.0172865197075614	0.00945132183443661	0.067436082236783	0.188259062911019	8092	0.00441421559086678	0.00355801540609892	0.214775422822453	0.399720925808454	8098	0.00271654552604595	0.0026349805155674	0.302593386380758	0.54793937533813
