name	id	prev	n	estimate	lower	upper	se	p.value	q.value	HL1	HL2
aspartate degradation II	MF0029	1	8973	0.0607751164105642	0.0198879316392869	0.101662301181842	0.0208583392897151	0.00358057442959569	0.0122933055416119	amino acid degradation	negatively charged amino acid degradation
tyrosine degradation I	MF0026	0.999554218210186	8973	0.0590413309335246	0.0186010371136824	0.0994816247533667	0.0206303609084584	0.00422142332828228	0.0140260194455831	amino acid degradation	aromatic amino acid degradation
pyruvate:ferredoxin oxidoreductase	MF0073	1	8973	-0.0581581629967657	-0.0986039068974875	-0.0177124190960438	0.0206331418989502	0.00483290075828217	0.0155558993157207	central metabolism	energy metabolism
urea degradation	MF0085	1	8973	0.0572714927585214	0.0167709112017008	0.097772074315342	0.0206611166036957	0.00558387481425529	0.0174284577535847	amines and polyamines degradation	urea degradation
lactose and galactose degradation	MF0007	1	8973	0.0552569621316416	0.014320473278797	0.0961934509844861	0.0208834925883516	0.00816025566898367	0.024720774526627	carbohydrate degradation	disaccharide degradation
glutamine degradation I	MF0046	1	8973	0.0545745341388029	0.0133813499108234	0.0957677183667823	0.0210144440865554	0.00941971434229445	0.0269916909700716	amino acid degradation	polar, uncharged amino acid degradation
arginine degradation I	MF0051	1	8973	0.0535032402630999	0.0131105820998519	0.0938958984263479	0.0206060574201384	0.00943398907691823	0.0269916909700716	amino acid degradation	positively charged amino acid degradation
4-aminobutyrate degradation	MF0076	1	8973	0.0520519056068744	0.0117555127479644	0.0923482984657844	0.0205569515899868	0.0113558569396036	0.0310464662919117	amino acid degradation	positively charged amino acid degradation
arabinoxylan degradation	MF0001	1	8973	-0.0517599228672608	-0.0918781478698366	-0.011641697864685	0.0204660512531094	0.0114540361076956	0.0310464662919117	carbohydrate degradation	polysaccharide degradation
cysteine biosynthesis/homocysteine degradation	MF0043	1	8973	-0.0515386790407908	-0.0930727381641282	-0.0100046199174534	0.0211883391608231	0.0150184918962842	0.0396642221876225	amino acid degradation	 polar, uncharged amino acid degradation
homoacetogenesis	MF0097	0.999888554552547	8973	0.049935163716654	0.00876836402977447	0.0911019634035335	0.0210009841767671	0.0174395677526101	0.0449068869629711	gas metabolism	acetogenesis
allose degradation	MF0013	0.999108436420372	8973	0.0478959884422737	0.00696196515838951	0.0888300117261579	0.0208822251969795	0.0218354521137834	0.054854916285846	carbohydrate degradation	monosaccharide degradation
alanine degradation II	MF0034	1	8973	0.0460948933529869	0.00554235439640986	0.0866474323095638	0.0206876179164736	0.0258962920255942	0.0635075733008621	amino acid degradation	nonpolar, aliphatic amino acid degradation
glycerol degradation III	MF0062	1	8973	0.0445049492501801	0.00434083749822707	0.0846690610021331	0.0204894673181106	0.029875405434373	0.0712956180126462	lipid degradation	glycerol degradation
arginine degradation V	MF0055	1	8973	0.0450706476356939	0.00415478227786784	0.0859865129935199	0.020872971302891	0.0308550054207602	0.0712956180126462	amino acid degradation	positively charged amino acid degradation
rhamnose degradation	MF0019	1	8973	0.0440853977219645	0.0039939660142203	0.0841768294297087	0.0204523916849384	0.0311485709763988	0.0712956180126462	carbohydrate degradation	monosaccharide degradation
mannose degradation	MF0018	1	8973	0.0451298184669167	0.003658020327616	0.0866016166062175	0.0211565766300876	0.0329411349720393	0.0737594978721751	carbohydrate degradation	monosaccharide degradation
cysteine degradation I	MF0044	1	8973	0.0440173148867178	0.00338043400528857	0.0846541957681471	0.0207306494551863	0.0337566717961543	0.0739773871277424	amino acid degradation	polar, uncharged amino acid degradation
Entner-Doudoroff pathway	MF0066	1	8973	0.0429780128224739	0.00279459489656755	0.0831614307483803	0.0204993180212677	0.036061006725594	0.077380910265337	central metabolism	energy metabolism
triacylglycerol degradation	MF0064	0.18265908837624	8973	-0.0419841065743883	-0.0822051275263087	-0.00176308562246791	0.020518497175601	0.0407702488360288	0.0857007271451218	lipid degradation	triacylglycerol degradation
ethanol production I	MF0090	1	8973	0.0417174270983083	0.000859418036789579	0.0825754361598271	0.0208434552058279	0.0453728717116225	0.0917477723298192	alcohol metabolism	ethanol metabolism
serine degradation	MF0048	1	8973	0.0415439144992777	0.000639877937351471	0.0824479510612039	0.0208669370585256	0.0465229366738068	0.0917477723298192	amino acid degradation	polar, uncharged amino acid degradation
hydrogen metabolism	MF0098	1	8973	-0.0410914272817321	-0.0815744545433775	-0.000608400020086677	0.0206521619697612	0.0466556567688146	0.0917477723298192	gas metabolism	hydrogen metabolism
leucine degradation	MF0037	0.999219881867826	8973	0.0414944700066025	0.00051130825614186	0.0824776317570631	0.0209072992106831	0.0472100187716546	0.0917477723298192	amino acid degradation	nonpolar, aliphatic amino acid degradation
acetyl-CoA to crotonyl-CoA	MF0087	1	8973	0.0395949985584429	-0.000662248624206371	0.0798522457410921	0.0205369795097069	0.0538888951855609	0.101302074103131	organic acid metabolism	butyrate metabolism
glyoxylate bypass	MF0063	0.986626546305583	8973	0.0396826228419321	-0.000698079335605353	0.0800633250194695	0.0205999600073303	0.0540933405405066	0.101302074103131	lipid degradation	glyoxylate bypass
arabinose degradation	MF0014	1	8973	0.0389393319637967	-0.00138258667171021	0.0792612505993036	0.0205699693391979	0.0583880372407564	0.107392282782106	carbohydrate degradation	monosaccharide degradation
pentose phosphate pathway (oxidative phase)	MF0070	1	8973	0.0378011464118282	-0.0025220309766636	0.07812432380032	0.020570615129727	0.0661506721568707	0.119535425125573	central metabolism	energy metabolism
glycine degradation	MF0035	1	8973	0.0350190293584959	-0.00608308068853733	0.0761211394055292	0.0209679798954177	0.0949311327669207	0.168584597844704	amino acid degradation	nonpolar, aliphatic amino acid degradation
pyruvate dehydrogenase complex	MF0072	1	8973	0.0341201512119729	-0.00654489720920491	0.0747851996331508	0.0207450134972771	0.100059026848322	0.17467931805724	central metabolism	energy metabolism
lactate production	MF0092	1	8973	0.03198286616021	-0.00900779952038225	0.0729735318408022	0.0209111291020113	0.126184638359278	0.216616962516761	organic acid metabolism	lactate metabolism
glycerol degradation II	MF0061	1	8973	0.0317284741106864	-0.00962946549728253	0.0730864137186553	0.0210984911937144	0.132661683972157	0.224002515559544	lipid degradation	glycerol degradation
fructose degradation	MF0015	1	8973	0.0310011674847678	-0.0101275860908721	0.0721299210604078	0.0209815699252189	0.139565825731139	0.231859355650118	carbohydrate degradation	monosaccharide degradation
threonine degradation II	MF0050	1	8973	0.0304523985336689	-0.010653234863554	0.0715580319308918	0.0209697795250575	0.146480323684604	0.239483703801813	amino acid degradation	polar, uncharged amino acid degradation
galactose degradation	MF0017	1	8973	-0.0302887506127453	-0.0718527038918193	0.0112752026663287	0.0212035895914533	0.153191093926829	0.24654191678849	carbohydrate degradation	monosaccharide degradation
arginine degradation IV	MF0054	1	8973	0.028836931933961	-0.0116794316685907	0.0693532955365127	0.0206691623501233	0.163000568268711	0.25829320817965	amino acid degradation	positively charged amino acid degradation
tryptophan degradation	MF0025	1	8973	0.0283391897946533	-0.013036544059663	0.0697149236489696	0.0211075690082136	0.179433393145509	0.280024840817991	amino acid degradation	aromatic amino acid degradation
pectine degradation II	MF0004	1	8973	-0.0272592917409526	-0.0679862936036367	0.0134677101217315	0.0207766228021725	0.189548272174675	0.291395104984948	carbohydrate degradation	polysaccharide degradation
pentose phosphate pathway (non-oxidative branch)	MF0071	1	8973	-0.0265837647637029	-0.0678583606261987	0.0146908310987929	0.0210559725534665	0.206791973882013	0.31322901926246	central metabolism	energy metabolism
arginine degradation III	MF0053	0.0724395408447565	8973	0.0251563611218124	-0.0150100340876209	0.0653227563312458	0.0204906339591551	0.219592063329383	0.327796848158355	amino acid degradation	positively charged amino acid degradation
glycolysis (preparatory phase)	MF0067	1	8973	-0.0243794517219749	-0.0650853724488784	0.0163264690049286	0.0207658629777225	0.240420336346873	0.353761352053256	central metabolism	energy metabolism
glycolysis (pay-off phase)	MF0068	1	8973	-0.0234457498595873	-0.0643781437189964	0.0174866439998217	0.0208814020277891	0.261550631870707	0.37943260679835	central metabolism	energy metabolism
lysine degradation I	MF0057	0.999665663657639	8973	-0.0228677525842317	-0.0637074769913827	0.0179719718229194	0.0208341270090508	0.272404553865384	0.389689847890758	amino acid degradation	positively charged amino acid degradation
maltose degradation	MF0008	1	8973	-0.0220947510976031	-0.063087150204625	0.0188976480094189	0.0209120133586109	0.290742281477316	0.410225410851555	carbohydrate degradation	disaccharide degradation
galacturonate degradation II	MF0023	0.000891563579627772	8973	-0.021197407536021	-0.0612369654105266	0.0188421503384846	0.0204259273576209	0.299405660926356	0.416740311829929	carbohydrate degradation	sugar acid degradation
butyrate production II	MF0089	1	8973	0.0209419043371319	-0.0198617090261246	0.0617455177003883	0.020815700938378	0.31441286528564	0.431793668325612	organic acid metabolism	butyrate metabolism
fructan degradation	MF0002	1	8973	0.020466926458279	-0.0202116803774824	0.0611455332940403	0.0207519340875169	0.324029575605145	0.43914534588592	carbohydrate degradation	polysaccharide degradation
melibiose degradation	MF0009	1	8973	0.0198400590776591	-0.0205917586958897	0.0602718768512078	0.0206260357503574	0.336129160418768	0.449627318482249	carbohydrate degradation	disaccharide degradation
lactaldehyde degradation	MF0078	1	8973	0.0184037206753153	-0.0220378491267957	0.0588452904774264	0.0206310113232716	0.372394878230129	0.487120764875858	organic acid metabolism	propionate metabolism
histidine degradation	MF0056	1	8973	0.0187793341286203	-0.0225932791308439	0.0601519473880846	0.0211059755178121	0.373616897331969	0.487120764875858	amino acid degradation	positively charged amino acid degradation
aspartate degradation I	MF0028	1	8973	-0.0180629818685149	-0.0584671484519879	0.022341184714958	0.0206119294322906	0.380871030801745	0.489636647398266	amino acid degradation	negatively charged amino acid degradation
alanine degradation I	MF0033	0.996433745681489	8973	-0.0178295768628701	-0.0580638644499048	0.0224047107241647	0.0205252670474518	0.385054062517083	0.489636647398266	amino acid degradation	nonpolar, aliphatic amino acid degradation
ribose degradation	MF0020	1	8973	0.0173756644622433	-0.0229868895425912	0.0577382184670779	0.0205907006191082	0.398770573141572	0.495091527879734	carbohydrate degradation	monosaccharide degradation
methionine degradation I	MF0038	1	8973	-0.0176514675240896	-0.058670929028902	0.0233679939807227	0.0209258184160269	0.398957250621533	0.495091527879734	amino acid degradation	nonpolar, aliphatic amino acid degradation
glutamine degradation II	MF0047	1	8973	0.0172470505123248	-0.0245279453086969	0.0590220463333465	0.021311251368368	0.418368271699566	0.512999190298278	amino acid degradation	polar, uncharged amino acid degradation
sulfate reduction (dissimilatory)	MF0102	0.98361751922434	8973	0.0163275212849342	-0.0242121447631001	0.0568671873329685	0.0206810470510804	0.429845706504487	0.520871856117202	gas metabolism	sulfate metabolism
acetyl-CoA to acetate	MF0086	1	8973	-0.0133227533392458	-0.0537075160027856	0.027062009324294	0.0206020284406574	0.51786108617311	0.619004101163551	organic acid metabolism	acetate metabolism
butyrate production I	MF0088	0.999888554552547	8973	-0.0132416766239097	-0.0538634291644666	0.0273800759166473	0.0207229300581447	0.522848124283776	0.619004101163551	organic acid metabolism	butyrate metabolism
glutamate degradation III	MF0032	0.991864482335897	8973	-0.0121476363110776	-0.0524696235536461	0.0281743509314908	0.020570006898504	0.554836443740355	0.649410837559734	amino acid degradation	negatively charged amino acid degradation
methionine degradation II	MF0039	1	8973	-0.0111791007117796	-0.0514384597459659	0.0290802583224066	0.0205380586926052	0.586240869503363	0.678458534369061	amino acid degradation	nonpolar, aliphatic amino acid degradation
methanol conversion	MF0081	0.797837958319403	8973	0.0085184018679977	-0.032303080449282	0.0493398841852774	0.0208248197697111	0.682512542270622	0.779725024027381	gas metabolism	methanogenesis
methanogenesis from carbon dioxide	MF0100	0.507968349492923	8973	-0.00832828005853466	-0.0491025280682707	0.0324459679512014	0.0208007244613935	0.688883273655259	0.779725024027381	gas metabolism	methanogenesis
starch degradation	MF0005	1	8973	-0.00775313240825689	-0.048273844057814	0.0327675792413002	0.0206713864731243	0.7076204309576	0.792227221615574	carbohydrate degradation	polysaccharide degradation
lactose degradation	MF0006	1	8973	-0.00670112946136632	-0.0477768067894199	0.0343745478666873	0.0209544985760009	0.749131804524806	0.829683611462957	carbohydrate degradation	disaccharide degradation
mucin degradation	MF0103	0.999888554552547	8973	0.00537081111816081	-0.0354597042099502	0.0462013264462718	0.0208294286711719	0.796530785403437	0.855763995135568	glycoprotein degradation	mucus degradation
glutamate degradation I	MF0030	0.998996990972919	8973	-0.00529887925525922	-0.0456201017470313	0.0350223432365129	0.0205696133540303	0.796716115785601	0.855763995135568	amino acid degradation	negatively charged amino acid degradation
succinate consumption	MF0083	0.999665663657639	8973	0.00525263664629359	-0.0349498003259109	0.0454550736184981	0.0205090197618376	0.797869156264907	0.855763995135568	organic acid metabolism	butyrate metabolism
acetate to acetyl-CoA	MF0075	1	8973	0.0050546365799948	-0.0352706458881515	0.0453799190481411	0.0205716879869302	0.805913665321845	0.855763995135568	organic acid metabolism	acetate metabolism
ethanol production II	MF0091	0.140421263791374	8973	0.00431376238542003	-0.0359184801573065	0.0445460049281466	0.0205242231399892	0.833532744997125	0.876059925864326	alcohol metabolism	ethanol metabolism
tyrosine degradation II	MF0027	0.987406664437758	8973	0.00407332445960886	-0.0360578586548538	0.0442045075740715	0.0204726708976456	0.84229547469167	0.876327615083252	amino acid degradation	aromatic amino acid degradation
pectin degradation I	MF0003	0.999888554552547	8973	-0.00354280715286651	-0.0443327543422914	0.0372471400365584	0.0208087352383056	0.864812886745639	0.890757273348008	carbohydrate degradation	polysaccharide degradation
Bifidobacterium shunt	MF0065	1	8973	0.00321376482997657	-0.0378907233152659	0.0443182529752191	0.020969195818319	0.878195763028398	0.895585778137871	central metabolism	energy metabolism
cysteine degradation II	MF0045	1	8973	0.00199572583061132	-0.0384187486657919	0.0424102003270146	0.0206171888124839	0.922888110839669	0.93193603349496	amino acid degradation	polar, uncharged amino acid degradation
methanogenesis - methyl-coM	MF0099	0.487128050819124	8973	-0.000130065878040168	-0.0406268524439522	0.0403667206878718	0.0206591720535291	0.994976859156144	0.994976859156144	gas metabolism	methanogenesis
