name	id	level	ppi_n	ppi_estimate	ppi_se	ppi_p.value	ppi_q.value	crohn_n	crohn_estimate	crohn_se	crohn_p.value	crohn_q.value	antib_n	antib_estimate	antib_se	antib_p.value	antib_q.value	shannon_n	shannon_estimate	shannon_se	shannon_p.value	shannon_q.value
Oscillibacter sp.	HG3A.0046	genus	6969	-0.0617789996645953	0.0225565826906993	0.00618152148430621	0.0127618508063096	7983	-0.0738771553416977	0.0210396556205255	0.000448378179317188	0.00264823627394203	6538	-0.0748862506912703	0.023384271586675	0.00136945345843548	0.00365187588916127	8118	-0.0744922128146631	0.0214858518300384	0.000529006678090904	0.00241831624270128
Lachnospiraceae sp.	HG3A.0930	family	6969	0.100316646992333	0.0242585281810438	3.58715214579356e-05	0.000720342980822532	7983	0.0877140744130235	0.0220639218318027	7.08758762101413e-05	0.000999910228724295	6538	0.0694189299285851	0.0245631232828419	0.00472580742622572	0.00945161485245144	8118	0.0761297566887659	0.0216859867022651	0.00044964853560592	0.00241831624270128
Ligilactobacillus salivarius	HG3A.0919	species	6969	0.0989100302415989	0.0245407345596334	5.62767953767603e-05	0.000720342980822532	7983	0.0754347548743698	0.0250704063136282	0.00263013808911171	0.0049508481677397	6538	0.0949946961536779	0.02883279320746	0.000990711331023983	0.00342410754976155	8118	0.0883666318865092	0.02534651691342	0.000492308921748869	0.00241831624270128
Firmicutes sp.	HG3A.1222	phylum	6969	0.0527452676438554	0.0222201765529694	0.0176356921369129	0.0221310646424005	7983	0.07087591775454	0.0203627089013053	0.000502877611581906	0.00264823627394203	6538	0.081552255660821	0.0225186127479298	0.000295110984530071	0.00236088787624056	8118	0.0706504859518141	0.0201530454122073	0.000457913902856143	0.00241831624270128
Streptococcus gordonii	HG3A.0713	species	6969	0.0426573760997808	0.0255177769395324	0.0946346409096506	0.0992888035773383	7983	0.0548773862119826	0.0222803475458239	0.0137977719483165	0.0166614604658916	6538	0.0842269129321046	0.0246312097737269	0.000631233845130566	0.00279233433574102	8118	0.0730939467261473	0.0215721796087745	0.000706564348495158	0.00282625739398063
Eubacteriales sp.	HG3A.0511	order	6969	0.0609821989548105	0.0232214103262357	0.00865578089111357	0.0148179333807737	7983	0.0721717537076318	0.0210067975318505	0.000594223943155116	0.00264823627394203	6538	0.0817365479927287	0.023127936663096	0.000412048284205327	0.00239737183537645	8118	0.0725982996851688	0.0212517974071091	0.000638415044359533	0.00272390418926734
Oscillospiraceae sp.	HG3A.1212	family	6969	0.0768512088664228	0.0219508901079671	0.000466387698802847	0.00298488127233822	7983	0.0691232980359381	0.0204732365113958	0.000738309918330369	0.00264823627394203	6538	0.081055628736916	0.0227162588758976	0.000362105248799954	0.00239737183537645	8118	0.0683024996380732	0.0202959268642491	0.000768127317148102	0.00288517366105099
Streptococcus agalactiae	HG3A.1733	species	6969	0.0590804434190374	0.0214760673277577	0.00595721039955341	0.0127087155190473	7983	0.0666425150033323	0.0206298397517519	0.00124129303969169	0.0036796314609476	6538	0.0717585262155357	0.0229860131038929	0.00180529070275416	0.00444379249908717	8118	0.0672394937395796	0.0201032315635901	0.000827482756738081	0.00288517366105099
Oscillospiraceae sp.	HG3A.0142	family	6969	0.0602212427114607	0.022820408908169	0.00833592701588818	0.0148179333807737	7983	0.0798522699007779	0.0214038096310867	0.000192257885123883	0.00170470356833168	6538	0.0746848463333754	0.0236250234108054	0.00157821184478057	0.00404022232263826	8118	0.0701557815692599	0.0210556850309517	0.000866422422477042	0.00288517366105099
Parabacteroides distasonis	HG3A.0024	species	6969	0.0738610417917447	0.0229312476670305	0.00128352521627677	0.00533732802053572	7983	0.0631573677580898	0.0214437357821251	0.00323631588825527	0.00545063728548256	6538	0.0769077715435562	0.0239074694304816	0.00130231856375278	0.00365187588916127	8118	0.0701960697577744	0.0213098243861715	0.000991778445986277	0.00288517366105099
Intestinimonas sp.	HG3A.1018	genus	6969	0.0612591334835949	0.0217603321638774	0.00488904884145395	0.011588856513076	7983	0.0612013982171349	0.0205539269458259	0.00291403377059722	0.00518050448106172	6538	0.0826762453810596	0.022390850155476	0.000223987501340794	0.00236088787624056	8118	0.067092252932656	0.0203410442925515	0.000976756748289003	0.00288517366105099
Eubacteriales sp.	HG3A.0721	order	6969	0.0705493856336343	0.022215002110876	0.00150112350577567	0.00533732802053572	7983	0.072081867313857	0.0213479005468438	0.000737624572776642	0.00264823627394203	6538	0.0696700171880036	0.0235909105388341	0.00315583858048973	0.00673245563837809	8118	0.0690847040287504	0.0208643643064253	0.000933314734045087	0.00288517366105099
Eggerthellales sp.	HG3A.1909	order	6969	0.0731525291958596	0.0214806989778937	0.000664235469898007	0.00386464273395204	7983	0.069464259559391	0.0204327258740722	0.000678066220034952	0.00264823627394203	6538	0.0596450675994913	0.0222298281279605	0.00731286283183647	0.0126492762496631	8118	0.0645245711978907	0.0198487318961469	0.00115551914219299	0.00308880043392409
Limosilactobacillus oris	HG3A.1462	species	6969	0.0738136050182802	0.0222877918636807	0.000931660209391351	0.00465288691114939	7983	0.0703423845890599	0.0208531345385435	0.000746518910058206	0.00264823627394203	6538	0.0746047986631061	0.0230089449463443	0.00119124235278864	0.00365187588916127	8118	0.0673232472617989	0.0207140085035246	0.00115830016272153	0.00308880043392409
Blautia obeum	HG3A.0009	species	6969	0.0548041542819524	0.0226845945656337	0.0157216347213692	0.0218735787427746	7983	0.0664715725609988	0.0212078682598218	0.00172907065248451	0.00396426746470619	6538	0.0834090752475463	0.0234654240634043	0.000381355840451873	0.00239737183537645	8118	0.067437066398791	0.0210239700074912	0.0013436353330394	0.00330741005055853
Eubacteriales sp.	HG3A.1129	order	6969	0.0354806264150153	0.0216575202259409	0.101424753645598	0.10469651989223	7983	0.0627187428031276	0.0204466240739601	0.00216661394257051	0.00433322788514101	6538	0.0823509336561676	0.0222443433405192	0.000215856525436389	0.00236088787624056	8118	0.063999884606449	0.0199113904251091	0.00131345824448882	0.00330741005055853
Eubacteriales sp.	HG3A.0190	order	6969	0.0553318841283918	0.022214693381288	0.0127699122000308	0.0194589138286183	7983	0.070788359966274	0.0210747169057983	0.000786195143826539	0.00264823627394203	6538	0.0744463524104709	0.0230859225951073	0.00126715444118329	0.00365187588916127	8118	0.0655742363728808	0.0207453526901031	0.00157864311883562	0.00355345457834057
Eubacteriales sp.	HG3A.1303	order	6969	0.0581620057430179	0.0218368683842371	0.00775199344370891	0.0148179333807737	7983	0.0658318040190227	0.0204548204508782	0.00129432094592241	0.0036796314609476	6538	0.0646612654318555	0.0226791058427473	0.00437029418914741	0.00902254284211079	8118	0.0643814177732674	0.0202048615434701	0.00144594810105578	0.00342743253583592
Lachnospiraceae sp.	HG3A.0433	family	6969	0.0669504965799213	0.0237136803089664	0.00476718741461253	0.011588856513076	7983	0.0672314154669651	0.0215965747573061	0.00185825037408103	0.00396426746470619	6538	0.0543920871424366	0.0243224747513303	0.025367244656454	0.0345426310215543	8118	0.0685733526328951	0.0217338340316552	0.00161015910581057	0.00355345457834057
Eubacteriales sp.	HG3A.0935	order	6969	-0.0712277608019088	0.0227451978030985	0.00174619464482059	0.0058819188036062	7983	-0.0651289304783533	0.0207984590089838	0.00174596302123118	0.00396426746470619	6538	-0.0596779195758783	0.0234240240356137	0.010866036358038	0.0169616177296203	8118	-0.0649433183286408	0.0210539364570396	0.00204511710869159	0.00407697855585045
Bifidobacterium breve	HG3A.1387	species	6969	0.0739359518877328	0.0225983901466131	0.0010742019800313	0.00491063762300021	7983	0.0669445450923381	0.0214736377179402	0.00183037604008308	0.00396426746470619	6538	0.0776701923047702	0.0226673383253766	0.000615205556959914	0.00279233433574102	8118	0.064160456195989	0.0208556284621459	0.00210219206786039	0.00407697855585045
Rothia mucilaginosa	HG3A.0559	species	6969	0.0414288693204196	0.0222058683734022	0.06213009765764	0.0697601096506835	7983	0.0669996722708034	0.0212278462964467	0.0016043520775354	0.00396426746470619	6538	0.0402362111542452	0.023285508862557	0.0840453124929876	0.0896483333258534	8118	0.0630957172238971	0.020752320470509	0.00237016783720566	0.0043340211880332
Oscillibacter sp.	HG3A.0243	genus	6969	0.07291447404295	0.0227612257126862	0.00136415376744209	0.00533732802053572	7983	0.0681208774481053	0.0212066667237878	0.00132236755627804	0.0036796314609476	6538	0.0773718909768082	0.0241453621285854	0.00135998985957513	0.00365187588916127	8118	0.0672498644298705	0.021859132300091	0.0021014822954907	0.00407697855585045
Eubacteriales sp.	HG3A.0100	order	6969	-0.0604889155627751	0.0233618294160349	0.0096397701508807	0.0154236322414091	7983	-0.0642041573646242	0.0219085267839126	0.00339332554392909	0.00556853422593491	6538	-0.0836987696946861	0.0243819843491185	0.000601140159630262	0.00279233433574102	8118	-0.0688880197191551	0.0230402080360047	0.00279916302566211	0.00471437983269407
Flintibacter sp.	HG3A.0922	genus	6969	0.0676930474393601	0.0226943486497681	0.00286622979423877	0.00833812303778552	7983	0.0650428174032286	0.0210922216121199	0.00205130233916392	0.00423494676472552	6538	0.053635381842395	0.0236436820588701	0.0233328204403151	0.0326703561108481	8118	0.0626927233885463	0.0209063914533889	0.00271939764424585	0.00471437983269407
Bacteria sp.	HG3A.0920	superkingdom	6969	-0.0642134503355476	0.0216818716791903	0.00307082668407304	0.00854490903394236	7983	-0.0587982959566501	0.0208545444840749	0.00482270019442487	0.00685895138762648	6538	-0.0676480210203761	0.0228243667408776	0.00304936288105903	0.00673245563837809	8118	-0.0605398879853503	0.0203812253013279	0.00298322418194311	0.00480405007657945
Oscillibacter sp.	HG3A.0372	genus	6969	0.0537564077612806	0.0226436928096441	0.0176234453014552	0.0221310646424005	7983	0.0653355401889319	0.0208702338496621	0.00175113395065435	0.00396426746470619	6538	0.0590233655121759	0.0234085259825852	0.0117113963827668	0.0178459373451684	8118	0.0628058607567451	0.0209712795233555	0.00275421435065884	0.00471437983269407
Eubacteriales sp.	HG3A.0759	order	6969	0.0561586866464534	0.02219260642417	0.0114119382824641	0.0178137573189683	7983	0.0634974054321538	0.0211938923483064	0.00274380891846884	0.00501725059377159	6538	0.0612067937019707	0.0239248068280342	0.0105414712252271	0.0168663539603634	8118	0.0644056014063457	0.0211690134136214	0.00235427398245137	0.0043340211880332
Lachnospiraceae sp.	HG3A.1066	family	6969	0.0513544600791491	0.0215159812255157	0.0170238704484777	0.0221310646424005	7983	0.060196995287449	0.0203996666897596	0.00317816046291359	0.00545063728548256	6538	0.0386536002432465	0.022619250634617	0.0875215453872625	0.0918258836849967	8118	0.0597964018986588	0.0201443791883061	0.00300253129786215	0.00480405007657945
Eubacteriales sp.	HG3A.0084	order	6969	-0.0658875803169536	0.0225964385833987	0.00355887889640196	0.00949034372373856	7983	-0.0642642640184832	0.0210709163660155	0.00229678556095082	0.00445437199699553	6538	-0.051092868256785	0.0234618471268902	0.0294647642548098	0.0392863523397465	8118	-0.0629634649640796	0.0217696292292907	0.00383513218463088	0.00570810371665992
Bifidobacterium dentium	HG3A.0579	species	6969	0.0473228179035364	0.0235073963175723	0.0441429140463879	0.0513662999812513	7983	0.0701479920150448	0.0222391159453714	0.00161512556380604	0.00396426746470619	6538	0.0534058665292858	0.0250860215650995	0.0332998388985761	0.0434936671328341	8118	0.0643297235560496	0.022146146718042	0.0036851972323404	0.0056155386397568
Leuconostoc lactis	HG3A.1458	species	6969	0.0657341843736612	0.021387505331199	0.00212408568983391	0.00679707420746853	7983	0.065695748833191	0.0203380119977756	0.00124215630732285	0.0036796314609476	6538	0.0458798799377825	0.0222885839774212	0.0395875928078084	0.0496785478372498	8118	0.058396948236339	0.0198152977193428	0.00321735549852806	0.00502221346111697
Desulfovibrio piger	HG3A.0240	species	6969	0.0586169215466323	0.0223681380042856	0.00879814794483439	0.0148179333807737	7983	0.0543318845295372	0.0208546518664199	0.0091976690998261	0.0122635587997681	6538	0.0646310681744527	0.0232157434856912	0.00538618282712918	0.0101386970863608	8118	0.0650403953818826	0.0210875920785775	0.00204731623333534	0.00407697855585045
Oscillospiraceae sp.	HG3A.1278	family	6969	0.0575483287478689	0.021621350472698	0.00779536874348251	0.0148179333807737	7983	0.0591412677116741	0.0203968320294098	0.00374766068492185	0.00595797059879656	6538	0.0415854618452551	0.0220826174499248	0.0597238517903956	0.0670583599050056	8118	0.0569460163135522	0.0200010433684504	0.0044226720945309	0.00643297759204494
Lactobacillus gasseri	HG3A.0884	species	6969	0.057162642232566	0.0216707047524956	0.00836388889762045	0.0148179333807737	7983	0.0620549452870414	0.0214442463112798	0.00381682491485404	0.00595797059879656	6538	0.0367307833599489	0.0242022694433997	0.129149873614333	0.133315998569634	8118	0.0579503589261936	0.0209305121584965	0.00564099470713142	0.00768135449481726
Burkholderiales sp.	HG3A.1923	order	6969	0.0678815147767648	0.0213193678845422	0.00145919550456075	0.00533732802053572	7983	0.0567652016033537	0.0202961003645672	0.00517293377513695	0.00719712525236446	6538	0.041638020298219	0.0220280413662591	0.0587746220257531	0.0670583599050056	8118	0.0550660282053948	0.0197165743800067	0.00523666502553437	0.00728579481813478
Traorella massiliensis	HG3A.0669	species	6969	0.0622543116288434	0.0234388060954547	0.00792488718718562	0.0148179333807737	7983	0.0621331031346691	0.0216563562420364	0.00412809906271675	0.00629043666699695	6538	0.0481724265482202	0.0233974849021414	0.0395469025180267	0.0496785478372498	8118	0.0614491170678954	0.0219191681949603	0.00506823957745545	0.0072081629546033
Enterocloster asparagiformis	HG3A.0466	species	6969	0.0561882488564143	0.0215959820693353	0.00929384370374892	0.0152514358215367	7983	0.0511552966988755	0.0205397758529706	0.0127751572465057	0.0157232704572378	6538	0.0612625503091006	0.0227067174580216	0.00699426353106998	0.0124342462774577	8118	0.0542105516044565	0.0201162071595857	0.00705637430273601	0.00940849907031468
Butyricicoccus sp. OM04-18BH	HG3A.0139	species	6969	-0.068379276184199	0.0225339107513669	0.00241836854168435	0.00737026603179992	7983	-0.05973949216648	0.0210432192079235	0.00453863678216905	0.00669333960941407	6538	-0.0441674096634325	0.0233018291728751	0.0580780808344469	0.0670583599050056	8118	-0.0548070634698306	0.0210873419664865	0.00936541070547863	0.0117526722578555
Lachnospiraceae sp.	HG3A.1323	family	6969	0.0552221918945873	0.0223925574521527	0.0136839761120451	0.0199039652538838	7983	0.0549434365691704	0.0204988093124466	0.00737049446603316	0.0100364179963005	6538	0.0641962033659964	0.0232248078020612	0.00572399661946643	0.0104667366755958	8118	0.0549298459104454	0.0206339919930246	0.0077809746581477	0.00995964756242906
Eubacteriales sp.	HG3A.0505	order	6969	-0.0612765744637396	0.0221927599628288	0.00577597512860578	0.0127087155190473	7983	-0.0534656577386398	0.0209655222195163	0.0107858688114609	0.0138059120786699	6538	-0.0461820414572143	0.023227674397371	0.0468284623633197	0.0571919751802895	8118	-0.0533679726271585	0.0208887867330001	0.0106413865566916	0.0130970911466973
Eubacteriales sp.	HG3A.0439	order	6969	0.0546225556481098	0.0229938569458945	0.0175513083387657	0.0221310646424005	7983	0.0610767666948728	0.0215477329282823	0.00460167098147217	0.00669333960941407	6538	0.0546589975684388	0.0236777777808086	0.0210057694063142	0.0312644009768397	8118	0.0566105411212401	0.0212447951493023	0.0077217144836439	0.00995964756242906
Ruminococcus bicirculans	HG3A.0067	species	6969	-0.040837029289972	0.0223729656496961	0.0680017877974983	0.0748663635795191	7983	-0.0526234103965349	0.0209495463392524	0.0120278311993526	0.0150937489560503	6538	-0.0405764928703065	0.0232711152657503	0.0812695712341849	0.0881568230336921	8118	-0.0516731669784581	0.0208126494885543	0.0130566742843176	0.015766550079176
Oscillospiraceae sp.	HG3A.0616	family	6969	-0.055458841201209	0.0223711386255203	0.0131977864842915	0.0196432170928989	7983	-0.0538666656684952	0.0210947838406782	0.0106817259443256	0.0138059120786699	6538	-0.0628490251592297	0.0241247413282688	0.00920414606711008	0.0155017196919749	8118	-0.0520620353025843	0.021543305947121	0.0156875507169683	0.018592652701592
Eubacteriales sp.	HG3A.0092	order	6969	-0.0407388087475075	0.0225776606008085	0.0712149895579912	0.0759626555285239	7983	-0.0499898045477994	0.0210406215337685	0.0175314544754817	0.0196844401128215	6538	-0.0600039578739421	0.0232686838709922	0.00993817797307476	0.0163088048788919	8118	-0.0506969426968282	0.0214804262808307	0.0182916848506567	0.0209047826864648
Eubacteriales sp.	HG3A.0854	order	6969	0.0340908331499085	0.0223978121059576	0.128040112855508	0.130072495599246	7983	0.0495551711562199	0.0206878918643326	0.0166268634209358	0.0194235056693135	6538	0.0710323709881127	0.0233486136261119	0.00235766876634966	0.0055885481869029	8118	0.0500964158196482	0.0209468624658785	0.0167983485393706	0.0195471692094494
Clostridia sp.	HG3A.0479	class	6969	-0.0438174548368023	0.0223481714381138	0.0499580456229418	0.057094909283362	7983	-0.0489678647799942	0.0208456493428467	0.0188451247397608	0.0207946204024947	6538	-0.0456208019280496	0.0230009514825142	0.0473621044461772	0.0571919751802895	8118	-0.0477673704730134	0.0207796399375466	0.0215444329984526	0.0239923961080453
[Clostridium] spiroforme	HG3A.0259	species	6969	0.0323336580310476	0.02261197261629	0.152781316755283	0.152781316755283	7983	0.0500690659258913	0.0209729789508572	0.0169955674606493	0.0194235056693135	6538	0.0279985467171238	0.0241287196972487	0.245936347734997	0.249840099286346	8118	0.0477177061713011	0.0211638081928582	0.0241801480932643	0.0256263491968662
Clostridium phoceensis	HG3A.0014	species	6969	0.0566571971279272	0.0233693471731073	0.0153584869245154	0.0218431814037552	7983	0.0407252405809406	0.0218451177203357	0.0623208376084264	0.0623208376084264	6538	0.0803180348586066	0.0243913341058326	0.000997005628082006	0.00342410754976155	8118	0.0498993678634679	0.0217400257543328	0.0217431089729161	0.0239923961080453
Eubacteriales sp.	HG3A.1250	order	6969	0.0504356109681272	0.0215951388915754	0.0195457098657	0.0236023666302793	7983	0.0464628073375051	0.0204950750835542	0.023415913112431	0.0254003125287387	6538	0.0207160600945683	0.022189223088652	0.350540798743751	0.350540798743751	8118	0.0456166915996786	0.0199454468851943	0.0222176248297591	0.024100474391603
Eubacteriales sp.	HG3A.0226	order	6969	-0.0516062568552975	0.0220618521494779	0.0193557228036452	0.0236023666302793	7983	-0.0430413350212953	0.0207785660601257	0.0383512853744765	0.0395884236123628	6538	-0.0435218727772204	0.0228396361280279	0.0567545140889073	0.0670583599050056	8118	-0.0446655425933323	0.0206282257030365	0.0303970626992867	0.0308795557580056
Oscillospiraceae sp.	HG3A.0072	family	6969	-0.0414920673915792	0.0228154865675513	0.0690174289248691	0.0748663635795191	7983	-0.0430979377191301	0.0213335615243791	0.0433971614859565	0.0440860053190669	6538	-0.0412179716088699	0.0236221260514864	0.0810523116270501	0.0881568230336921	8118	-0.0493359404047915	0.0229130238103325	0.0313341561895312	0.0313341561895312
Bifidobacterium pullorum subsp. gallinarum	HG3A.1171	subspecies	6969	0.0485302588486697	0.0221706233273543	0.0286346339064196	0.0339373438890899	7983	0.0430601294714485	0.0205007916667851	0.0357243681474997	0.0374813042859014	6538	0.0521231873962529	0.0230018228091526	0.0234818184546721	0.0326703561108481	8118	0.0446635406067068	0.0203594747969414	0.0282823291477251	0.0291946623460388
Prevotella marseillensis	HG3A.0424	species	6969	0.0540100174864737	0.0226883448753821	0.0173155820483691	0.0221310646424005	7983	0.0452301512610384	0.0212435860125279	0.0332753768377497	0.0354937352935997	6538	0.0535036542768703	0.023433298422089	0.0224493568776031	0.0326536100037863	8118	0.0475612123909713	0.0211307728888561	0.0244251140782631	0.0256263491968662
