name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	message	interaction_estimate	interaction_p.value	interaction_q.value	interaction_message
Oscillibacter sp.	HG3A.0046	genus	0.858709041635871	8118	-0.0738065030359205	-0.114885565867934	-0.0327274402039071	0.0209559117066504	0.000430714835128929	0.00388870986106983		0.00207770237841422	0.960676525797753	0.970386347300538	
Lachnospiraceae sp.	HG3A.0930	family	0.107908351810791	8118	0.0759209868156138	0.0334163242037351	0.118425649427492	0.0216831619677794	0.000465386042898909	0.00388870986106983		0.0924179309580999	0.0549324951062146	0.734722122045621	
Ligilactobacillus salivarius	HG3A.0919	species	0.0631929046563193	8118	0.0886278979766186	0.0389520700376576	0.13830372591558	0.0253414320403242	0.000472460076578577	0.00388870986106983		-0.0362603462906028	0.500718571120267	0.837138861091695	
Firmicutes sp.	HG3A.1222	phylum	0.0181079083518108	8118	0.0698341987183943	0.0303793640979418	0.109289033338847	0.0201273343878865	0.00052394980959084	0.00400447354472999		0.059822218892677	0.158613326824277	0.744017274199188	
Streptococcus gordonii	HG3A.0713	species	0.397142153239714	8118	0.0736597261794655	0.031456048717016	0.115863403641915	0.0215296184567985	0.000626303681591196	0.00443825310639388		-0.0285422417562783	0.577297207732968	0.882440017534679	
Eubacteriales sp.	HG3A.0511	order	0.264227642276423	8118	0.0723618858461398	0.0307093188928685	0.114014452799411	0.0212484756477632	0.000663664015909366	0.00443825310639388		0.103753122140039	0.0194759946190258	0.734722122045621	
Oscillospiraceae sp.	HG3A.1212	family	0.0620842572062084	8118	0.0685643157724585	0.0287915518909126	0.108337079654004	0.0202895212893118	0.00073019611861009	0.00459594027595762		-0.0312788888594238	0.444619692305929	0.8202466737368	
Streptococcus agalactiae	HG3A.1733	species	0.0332594235033259	8118	0.0673307968173452	0.0279258997489231	0.106735693885767	0.0201018590439866	0.000813383706993715	0.00483511425824042		-0.145823293040979	0.0269874221388871	0.734722122045621	
Oscillospiraceae sp.	HG3A.0142	family	0.633037694013304	8118	0.069867741628219	0.0286023157082903	0.111133167548148	0.0210509822973676	0.000907523878358468	0.00487839803913242		0.0494350453936732	0.258762013682536	0.744017274199188	
Parabacteroides distasonis	HG3A.0024	species	0.929046563192905	8118	0.0706353568407878	0.0288998337808503	0.112370879900725	0.0212907961233766	0.000911850100772415	0.00487839803913242		0.0649953309023835	0.134817421754561	0.744017274199188	
Intestinimonas sp.	HG3A.1018	genus	0.126139443212614	8118	0.0671033153820301	0.0272308826656018	0.106975748098458	0.020340356479377	0.000974481530843986	0.00496521541906221		0.0536679493501801	0.226870665627906	0.744017274199188	
Eubacteriales sp.	HG3A.0721	order	0.236388272973639	8118	0.0681535623340197	0.0273160226542145	0.108991102013825	0.0208327017000845	0.00107444303157498	0.00522570019902376		0.0827184713273885	0.0728910701451541	0.74332471312764	
Eggerthellales sp.	HG3A.1909	order	0.002710027100271	8118	0.0644778184087176	0.0255708380639504	0.103384798753485	0.0198478536624757	0.00116452753538718	0.00531305454523711		0.0159466026723991	0.727139730833913	0.930429248643738	
Limosilactobacillus oris	HG3A.1462	species	0.0256220744025622	8118	0.0671110441418789	0.0265121135162721	0.107709974767486	0.020710978681883	0.00119867958789246	0.00531305454523711		-0.00933491774131567	0.840790225747909	0.964456405250998	
Blautia obeum	HG3A.0009	species	0.962182803646218	8118	0.067667586109632	0.0264645210024735	0.10887065121679	0.0210191677945117	0.00129006153895523	0.00531305454523711		0.0525183534794042	0.217123866516859	0.744017274199188	
Eubacteriales sp.	HG3A.1129	order	0.0695984232569599	8118	0.0640954017904462	0.0250653513762545	0.103125452204638	0.0199104491775103	0.00129102259977724	0.00531305454523711		-0.0343455120698747	0.392641709359519	0.750226123240509	
Eubacteriales sp.	HG3A.0190	order	0.630820399113082	8118	0.0662260322540237	0.0257350786937388	0.106716985814309	0.0206558961011011	0.00135051118161774	0.00535202579381845		-0.0441698512158318	0.290850257769693	0.744017274199188	
Eubacteriales sp.	HG3A.1303	order	0.0121951219512195	8118	0.0637050548330815	0.0241370636943967	0.103273045971766	0.020185057266964	0.00160516573498209	0.00613402620153869		0.0553792469065407	0.178231740883119	0.744017274199188	
Lachnospiraceae sp.	HG3A.0433	family	0.391475732939148	8118	0.0680330279982567	0.0254542903524081	0.110611765644105	0.0217209483208247	0.00174165687313217	0.00627616301986961		0.0759435735729886	0.0831446058051544	0.74332471312764	
Eubacteriales sp.	HG3A.0935	order	0.0289480167528948	8118	-0.0656135828904089	-0.106717818982502	-0.0245093467983163	0.0209687538826432	0.0017596718747298	0.00627616301986961		-0.0293098710097673	0.488574894536688	0.837138861091695	
Bifidobacterium breve	HG3A.1387	species	0.0222961320522296	8118	0.0648003624853955	0.0240454539383962	0.105555271032395	0.0207905492636515	0.00183463582155011	0.00633245267438263		0.0467041600829823	0.426785505631311	0.801158756185093	
Rothia mucilaginosa	HG3A.0559	species	0.306356245380636	8118	0.0637082493116704	0.0231318693556869	0.104284629267654	0.0206994747544214	0.00209262277466107	0.00699720740277297		-0.0875947172920976	0.034939779211995	0.734722122045621	
Oscillibacter sp.	HG3A.0243	genus	0.592510470559251	8118	0.0666016861555997	0.0237856192341195	0.10941775307708	0.021842018266471	0.00230168942558253	0.00746305359204031		0.0942798248272821	0.0338076965847438	0.734722122045621	
Eubacteriales sp.	HG3A.0100	order	0.656319290465632	8118	-0.066008131296749	-0.108669233738414	-0.0233470288550837	0.0217629655784698	0.0024287520919879	0.00764342570125604		0.0198923292563466	0.652771748229999	0.925453028432331	
Flintibacter sp.	HG3A.0922	genus	0.140428677014043	8118	0.0630125526522345	0.0220479849101489	0.10397712039432	0.0208975015809527	0.00257520563242912	0.00787277150485473		0.0238352402426092	0.610408789151952	0.907135283878596	
Bacteria sp.	HG3A.0920	superkingdom	0.0311653116531165	8118	-0.0610795910118978	-0.100964724796892	-0.0211944572269039	0.0203468440805902	0.00269113779122037	0.00799865954612722		-0.0453903393801526	0.266324558092725	0.744017274199188	
Oscillibacter sp.	HG3A.0372	genus	0.427075634392708	8118	0.0622956486067066	0.0212102897634122	0.103381007450001	0.0209591239024869	0.00296513180385883	0.00827252133383652		0.00463160809845962	0.914168132464632	0.970386347300538	
Eubacteriales sp.	HG3A.0759	order	0.0538309928553831	8118	0.062616983024247	0.0212982291024718	0.103935736946022	0.0210781816955752	0.00298007221580774	0.00827252133383652		0.0439183949902274	0.37548535333417	0.744017274199188	
Lachnospiraceae sp.	HG3A.1066	family	0.0384331116038433	8118	0.0597423176884018	0.0202558407404141	0.0992287946363896	0.020143473274758	0.00302752411245111	0.00827252133383652		-0.0686207391783512	0.208165373750975	0.744017274199188	
Eubacteriales sp.	HG3A.0084	order	0.728258191672826	8118	-0.0623525979736866	-0.103655519358859	-0.0210496765885137	0.0210701102417966	0.00309253133975197	0.00827252133383652		0.0510214275708063	0.22697892555244	0.744017274199188	
Bifidobacterium dentium	HG3A.0579	species	0.25769894062577	8118	0.0649930998110974	0.0216875536792461	0.108298645942949	0.0220917172639364	0.00327073813794548	0.00841952447054375		-0.00773886213446152	0.861754746015616	0.964456405250998	
Leuconostoc lactis	HG3A.1458	species	0.0296871150529687	8118	0.0582252623151229	0.0193866921158668	0.097063832514379	0.0198129552456872	0.00330486007254988	0.00841952447054375		0.0207010714934288	0.683278404169665	0.925453028432331	
Desulfovibrio piger	HG3A.0240	species	0.292559743779256	8118	0.0601623846777062	0.0195848110472535	0.100739958308159	0.0207000828554532	0.00366639015887554	0.009123342953481		-0.0236852080606422	0.570120931443208	0.882440017534679	
Oscillospiraceae sp.	HG3A.1278	family	0.0442227149544223	8118	0.0570577788831959	0.0178534100392497	0.0962621477271421	0.0199995138473564	0.00434275095809973	0.0105607807390152		0.0280037303260878	0.496501591954016	0.837138861091695	
Lactobacillus gasseri	HG3A.0884	species	0.110618378911062	8118	0.0585509255576475	0.0176033582512299	0.0994984928640651	0.0208888307686372	0.00507553611813313	0.0120684969920055		-0.0129301003749631	0.81939608689111	0.963465728542294	
Burkholderiales sp.	HG3A.1923	order	0.00295639320029564	8118	0.0548263049694341	0.016183411491782	0.0934691984470861	0.0197131068723047	0.00542847567618868	0.012627106464178		-0.00426841384472927	0.913966859359248	0.970386347300538	
Traorella massiliensis	HG3A.0669	species	0.148558758314856	8118	0.0607432469008659	0.0178162723546545	0.103670221447077	0.0218985983398693	0.00555273280571439	0.0126413278768391		0.0156055318487482	0.777034384274113	0.963465728542294	
Enterocloster asparagiformis	HG3A.0466	species	0.343311160384331	8118	0.0549476512514363	0.0157439132956709	0.0941513892072018	0.0199992399589205	0.0060188755751935	0.0134170768030355		0.113926077455769	0.0833635192292681	0.74332471312764	
Butyricicoccus sp. OM04-18BH	HG3A.0139	species	0.608277900960828	8118	-0.0555760338160072	-0.0964779294094019	-0.0146741382226124	0.020865532437555	0.00774801276180247	0.0169191299084258		0.0265595165826387	0.52523452800566	0.861252778273872	
Lachnospiraceae sp.	HG3A.1323	family	0.0113328406011333	8118	0.0547310088381696	0.01428850013719	0.0951735175391492	0.0206311759300083	0.00799783404079193	0.0171153648472947		0.0404404485757004	0.351088539907275	0.744017274199188	
Eubacteriales sp.	HG3A.0505	order	0.123675782212368	8118	-0.0541763786325446	-0.0948483649308549	-0.0135043923342342	0.0207482454280327	0.00904123558145417	0.0189688668081489		-0.0294885864342457	0.480346291364701	0.837138861091695	
Eubacteriales sp.	HG3A.0439	order	0.631313131313131	8118	0.0541538235234776	0.0128167068256858	0.0954909402212694	0.0210875531043994	0.0102453752949286	0.0210818299337954		-0.0323628847074819	0.496675054210616	0.837138861091695	
Ruminococcus bicirculans	HG3A.0067	species	0.790711998029071	8118	-0.0521186062315156	-0.0928825213169461	-0.0113546911460851	0.02079514242968	0.0122203782313083	0.0246713296367923		-0.0688008805133518	0.101831017018856	0.744017274199188	
Oscillospiraceae sp.	HG3A.0616	family	0.216063069721606	8118	-0.0529401119379851	-0.0948648283465994	-0.0110153955293708	0.0213873100476603	0.0133328589978053	0.026418813199355		-0.00255697803034838	0.952475211558809	0.970386347300538	
Eubacteriales sp.	HG3A.0092	order	0.778270509977827	8118	-0.051013339483495	-0.0919386190874938	-0.0100880598794963	0.0208774609530882	0.0145685109955602	0.0283423759368171		-0.0514596248473952	0.236528602041853	0.744017274199188	
Eubacteriales sp.	HG3A.0854	order	0.0438531658043853	8118	0.050814703226324	0.00987485312105803	0.09175455333159	0.0208848944442619	0.0149926397909264	0.0286466510290914		0.0869929731412292	0.0394167452325469	0.734722122045621	
Eubacteriales sp.	HG3A.0270	order	0.590539541759054	8118	0.0490039081689315	0.00843807367289685	0.0895697426649661	0.0206940951662535	0.0179075581052754	0.0336159424081486		0.018487969526652	0.670998115910307	0.925453028432331	
Clostridia sp.	HG3A.0479	class	0.11049519586105	8118	-0.048654266554708	-0.0890738300147864	-0.00823470309462962	0.0206194718094663	0.0183172939550123	0.0337922491928676		-0.0148626382842207	0.72023315528614	0.930429248643738	
[Clostridium] spiroforme	HG3A.0259	species	0.351318058635132	8118	0.0485824810724742	0.00771266045806573	0.0894523016868826	0.020849170019084	0.0198210284811118	0.0357387966597633		0.0292955457354762	0.490764322489656	0.837138861091695	
Clostridium phoceensis	HG3A.0014	species	0.97979797979798	8118	0.050493183748697	0.00794055234821665	0.0930458151491773	0.0217076325890336	0.0200404467251009	0.0357387966597633		0.00012264057474222	0.997757385411976	0.997757385411976	
Eubacteriales sp.	HG3A.1250	order	0.0370780980537078	8118	0.0458075662033782	0.00671573558986595	0.0848993968168905	0.019942153206446	0.0216432758272724	0.0379644346478385		0.12239776829373	0.104328134531457	0.744017274199188	
Eubacteriales sp.	HG3A.0226	order	0.394432126139443	8118	-0.045604142866627	-0.0856355393210876	-0.0055727464121663	0.0204214589963644	0.0255667965958213	0.0433244265619667		0.052038811874721	0.216837219737785	0.744017274199188	
Oscillospiraceae sp.	HG3A.0072	family	0.810914018231092	8118	-0.0471079366135729	-0.0885046875545081	-0.00571118567263767	0.0211179762625603	0.0257284801969841	0.0433244265619667		0.0153425230421428	0.71857381920386	0.930429248643738	
Bifidobacterium pullorum subsp. gallinarum	HG3A.1171	subspecies	0.016260162601626	8118	0.0452759433990797	0.00543936237235888	0.0851125244258004	0.0203220770433824	0.0259136757006156	0.0433244265619667		0.0386905103377742	0.384986619825103	0.748973969477929	
Prevotella marseillensis	HG3A.0424	species	0.158536585365854	8118	0.0464443804187435	0.00511672402010381	0.0877720368173832	0.0210827278309601	0.0276261350341478	0.045476868440828		0.0392013468326287	0.354765809866491	0.744017274199188	
Peptoniphilus harei	HG3A.1800	species	0.0699679724069968	8118	0.0443913571829101	0.00456588091582406	0.0842168334499961	0.0203164116710647	0.0289178424157009	0.0468819566436363		0.026371877379885	0.53124003145865	0.861252778273872	
Muribaculaceae sp.	HG3A.1967	family	0.00147819660014782	8118	0.0645135793539474	0.00643741840301376	0.122589740304881	0.0296267439779591	0.0294690975677182	0.0470625886529231		-0.104417711409686	0.142530792905783	0.744017274199188	
Pseudoflavonifractor sp. An184	HG3A.0253	species	0.604828775560483	8118	0.0449457757548296	0.00388701161598971	0.0860045398936695	0.0209455554533299	0.031915963929223	0.0502207079474538		0.0450489195303143	0.302065869553618	0.744017274199188	
Eubacteriales sp.	HG3A.0242	order	0.489652623798965	8118	-0.0465473027543468	-0.0893599507155236	-0.00373465479317007	0.021840275456786	0.0330982160258449	0.0513262190545711		-0.0547536080160362	0.232225579329417	0.744017274199188	
Oscillospiraceae sp.	HG3A.1161	family	0.0505050505050505	8118	0.0509124281489251	0.00345097116774046	0.0983738851301098	0.0242118006640894	0.0355150268020901	0.0536613025710836		0.0701343118359478	0.149838998044224	0.744017274199188	
Eubacteriales sp.	HG3A.0087	order	0.776176398127618	8118	-0.0446789636645897	-0.0863502956541491	-0.00300763167503036	0.0212580495854687	0.0356070325471676	0.0536613025710836		-0.00781488962021897	0.862780407340757	0.964456405250998	
Anaerotruncus colihominis	HG3A.0307	species	0.678615422517862	8118	0.0438547800128779	0.00280285816459588	0.08490670186116	0.0209420597847876	0.036282550364018	0.0539199012354156		0.0424886970326821	0.357814028973293	0.744017274199188	
Streptococcus salivarius	HG3A.0071	species	0.951958610495196	8118	0.0454508996102671	0.00155074472747845	0.0893510544930558	0.0223950526422321	0.0424398685961418	0.0622063827368105		-0.0490042552050135	0.276134841504912	0.744017274199188	
Eubacteriales sp.	HG3A.0085	order	0.748829761024883	8118	-0.042514655697499	-0.0838181222898538	-0.00121118910514426	0.0210703884767069	0.043651303532234	0.0631174253776897		0.0831272861607258	0.0504707097268887	0.734722122045621	
Streptococcus mutans	HG3A.0677	species	0.291081547179108	8118	0.0416285946513867	0.000516729827531447	0.0827404594752419	0.0209726455684774	0.0471898292690391	0.0673241564238292		-0.0694657066360901	0.152832593515193	0.744017274199188	
Eubacteriales sp.	HG3A.0269	order	0.36979551613698	8118	-0.0410971797339593	-0.0818189007033488	-0.000375458764569708	0.0207736189685686	0.0479252479672835	0.0674737043749913		0.0106209397288715	0.799528157130337	0.963465728542294	
Eubacteriales sp.	HG3A.0373	order	0.183665927568367	8118	-0.0414268499314362	-0.0827660561509227	-8.76437119497336e-05	0.0210886200643719	0.0495163718284004	0.0688084647485564		-0.00205197745496862	0.961317316017356	0.970386347300538	
Veillonellaceae sp.	HG3A.1555	family	0.00628233555062823	8118	0.0417623636839859	-0.000532364347508106	0.0840570917154799	0.0215760659757916	0.0529535271607074	0.0726413770025089		0.0201037897139878	0.64904688287907	0.925453028432331	
Sellimonas intestinalis	HG3A.0417	species	0.278024143877802	8118	0.0406541731420301	-0.000876030087402384	0.0821843763714626	0.0211860545742057	0.0550311102101859	0.0738900598512594		0.0167835668510711	0.692731698744369	0.926528647070594	
Eubacteriales sp.	HG3A.0685	order	0.0837644740083765	8118	-0.0384304845640037	-0.0777546643827152	0.000893695254707866	0.020060682727183	0.0554374965282811	0.0738900598512594		-0.0398436130628741	0.373034077664029	0.744017274199188	
Flintibacter sp. KGMB00164	HG3A.0374	species	0.338876570583888	8118	0.0400689571216309	-0.00101532708691358	0.0811532413301753	0.0209585735522231	0.0559354658687104	0.0738900598512594		0.0222481414180931	0.597780537188096	0.900880527875018	
Alistipes sp. AF17-16	HG3A.0150	species	0.499876816949988	8118	-0.0382669848259943	-0.0793990527043699	0.0028650830523814	0.0209829518651564	0.0682321128931233	0.0882900553430143		0.0102807941453937	0.812759965401406	0.963465728542294	
Massilistercora timonensis	HG3A.0458	species	0.330376940133038	8118	0.0403314535417167	-0.00305963523418482	0.0837225423176182	0.0221353292075565	0.0684866784436466	0.0882900553430143		-0.0200591694106419	0.730430438187607	0.930429248643738	
Lachnospiraceae sp.	HG3A.0422	family	0.262379896526238	8118	0.0379636449498751	-0.00326327364416332	0.0791905635439135	0.0210313374735945	0.0710968876599638	0.0905638926144776		0.0180290660966348	0.678730786906682	0.925453028432331	
Alistipes communis	HG3A.0064	species	0.812022665681202	8118	-0.0382164744933378	-0.0801194833313162	0.00368653434464061	0.0213762331191103	0.0738459107167784	0.0924866763314781		-0.0472982476743792	0.281699162184479	0.744017274199188	
Anaeromassilibacillus sp. Marseille-P3371	HG3A.0304	species	0.318674550381867	8118	0.0389021677620776	-0.00382491398182929	0.0816292495059845	0.0217966257875316	0.0743350856495992	0.0924866763314781		0.0569000489698472	0.19378957750366	0.744017274199188	
Eubacteriales sp.	HG3A.0105	order	0.857354028085735	8118	0.0386166804019846	-0.00408953285513597	0.0813228936591052	0.0217859670546041	0.0763418641662297	0.0934849809963707		0.0039202191765084	0.928820252245544	0.970386347300538	
Eubacteriales sp.	HG3A.0154	order	0.494826311899483	8118	-0.03712700261835	-0.0782615337046832	0.00400752846798311	0.0209842073325802	0.076884844183931	0.0934849809963707		0.00266911061384991	0.950199229669233	0.970386347300538	
Eubacteriales sp.	HG3A.0601	order	0.111357477211136	8118	-0.0361240147809609	-0.0765344394361055	0.00428640987418376	0.0206148155443596	0.0797550214431059	0.095885250499015		0.00344176693326388	0.933678086186272	0.970386347300538	
Eubacteriales sp.	HG3A.0568	order	0.151761517615176	8118	-0.0354151343773432	-0.0753787342235639	0.00454846546887745	0.0203868626702339	0.0823985905714348	0.0979627687904836		0.00782501837374095	0.86530668134669	0.964456405250998	
Eubacteriales sp.	HG3A.0350	order	0.202143385070214	8118	-0.0356252004091409	-0.076125606949174	0.0048752061308922	0.0206607181910662	0.084693089873086	0.0995841825980242		-0.0402412616043659	0.33368694430558	0.744017274199188	
Oscillospiraceae sp.	HG3A.0060	family	0.831116038433112	8118	-0.0353618975360058	-0.0774111951665192	0.00668740009450764	0.0214508638562462	0.0992880517186914	0.115476321020652		0.00868770112867339	0.841592570301655	0.964456405250998	
Flavonifractor plautii	HG3A.0079	species	0.920793298842079	8118	0.0333969529026294	-0.00867420098191845	0.0754681067871772	0.0214620134379422	0.119724921914211	0.13774802843893		0.0427240990070532	0.32742621927621	0.744017274199188	
Faecalibacterium prausnitzii	HG3A.0378	species	0.89159891598916	8118	-0.0325522723173702	-0.0737763677085788	0.0086718230738385	0.021029898383816	0.121684964596547	0.138513736296069		-0.0847257319048411	0.0444671179709822	0.734722122045621	
Ruthenibacterium lactatiformans	HG3A.0020	species	0.989652623798965	8118	0.0324378797988879	-0.00991173966864021	0.0747874992664161	0.0216040683468277	0.133273376485759	0.150107908252381		0.0111702339367598	0.812157654091151	0.963465728542294	
Clostridiaceae sp.	HG3A.0431	family	0.188470066518847	8118	0.0309060953619542	-0.00963147184730488	0.0714436625712132	0.0206796749345354	0.135080469454346	0.150558439912656		0.0476728105581035	0.251581521445306	0.744017274199188	
Allisonella histaminiformans	HG3A.0332	species	0.207070707070707	8118	0.0302314728256771	-0.0109116080028935	0.0713745536542476	0.0209885698766148	0.149799731768237	0.16524300308455		-0.0738969549342318	0.116910797361074	0.744017274199188	
Roseburia inulinivorans	HG3A.0036	species	0.950726779995073	8118	0.0300421990772935	-0.0119211502879635	0.0720055484425505	0.0214070161959859	0.160542198424384	0.175285869708256		-0.00666604038728552	0.87642199947071	0.966774782921298	
Acidaminococcus intestini	HG3A.0407	species	0.134023158413402	8118	0.0287505848099419	-0.0125890824269926	0.0700902520468764	0.0210888557510137	0.172824231517148	0.186789825983181		-0.0760456873559022	0.0728465098833301	0.74332471312764	
[Ruminococcus] torques	HG3A.0088	species	0.802168021680217	8118	0.0281761516032728	-0.0142444405993363	0.0705967438058819	0.021640274167881	0.192945837094131	0.20645204569072		0.0262242917971833	0.547958330987832	0.862228550230854	
Hungatella hathewayi	HG3A.0455	species	0.422148312392215	8118	0.0300101365483626	-0.0159224967971575	0.0759427698938828	0.0234318927999782	0.200322616587663	0.212222970048316		-0.0291503970561407	0.539553014204451	0.86167421671457	
Enterocloster citroniae	HG3A.0285	species	0.661246612466125	8118	0.0289343378676828	-0.016696159182105	0.0745648349174705	0.023277761823961	0.213903094643939	0.224388540459818		0.0673908465776598	0.153995341166587	0.744017274199188	
Eubacteriales sp.	HG3A.0196	order	0.481768908598177	8118	-0.0259822385561668	-0.0671639660091468	0.0151994888968133	0.0210082841887213	0.216212013707595	0.224608596764201		-0.0133341846321102	0.764679849911216	0.962596987535295	
Lachnospiraceae sp.	HG3A.0890	family	0.113944321261394	8118	0.0277002467752085	-0.0184838495437476	0.0738843430941645	0.0235601679550841	0.239740451752744	0.24665604170715		0.0631614406222437	0.18778532312313	0.744017274199188	
Eubacteriales sp.	HG3A.0254	order	0.285168760778517	8118	0.0146414712916368	-0.0287013844278605	0.0579843270111341	0.0221107535691344	0.507869996388456	0.517543710605379		-0.0450361946882002	0.322711554321516	0.744017274199188	
Oscillospiraceae sp.	HG3A.0207	family	0.383715200788372	8118	-0.0107971574889235	-0.0532392715711024	0.0316449565932554	0.0216512526704872	0.618014978180547	0.623845308163382		0.0100315630491573	0.817332292423449	0.963465728542294	
Oscillibacter sp. PEA192	HG3A.0021	species	0.985710766198571	8118	0.00786365084879711	-0.0347848786450312	0.0505121803426255	0.0217565534200932	0.717781418091299	0.717781418091299		0.0456418021356377	0.305021463886432	0.744017274199188	
