genus	id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message	name	hl1	hl2
Anaerostipes	MF0049	434	1.43763703553075	5.21919826397773e-06	0.000349686283686508		320	1.03853395883135	0.335664335664336	0.866980078744785		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Anaerostipes	MF0015	446	1.35791649603711	0.000104345762791253	0.00524337458026044		401	1.08587959258121	0.197802197802198	0.668233405938324		fructose degradation	carbohydrate degradation	monosaccharide degradation
Anaerostipes	MF0065	483	1.33932498166652	0.000380503531856513	0.0127468683171932		387	0.982331779927348	0.55044955044955	1		Bifidobacterium shunt	central metabolism	energy metabolism
Anaerostipes	MF0097	54	0.807220420996454	0.864135864135864	1		59	1.60193092386161	0.000380503531856513	0.0127468683171932		homoacetogenesis	gas metabolism	acetogenesis
Anaerostipes	MF0060	114	1.4292302261968	0.00135300362750369	0.0339942161410301		48	0.767792608348357	0.907092907092907	1		glycerol degradation I	lipid degradation	glycerol degradation
Anaerostipes	MF0094	131	1.3933177654939	0.00126096403591905	0.0339942161410301		76	1.05848990140631	0.333666333666334	0.866980078744785		propionate production II	organic acid metabolism	propionate metabolism
Fusicatenibacter	MF0012	275	1.4721649644504	1.53158220684321e-06	0.000159083423067026		188	0.782447758157093	0.978021978021978	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Fusicatenibacter	MF0050	260	1.50752618282183	1.58291963250772e-06	0.000159083423067026		159	1.16770186977254	0.0789210789210789	0.38690577714968		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Fusicatenibacter	MF0049	435	1.44604762859135	7.01651515424421e-06	0.000470106515334362		323	1.04354192294574	0.32967032967033	0.868674803457412		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Fusicatenibacter	MF0015	448	1.35732081024756	9.19372064902009e-05	0.0046198446261326		404	1.08605626019302	0.18981018981019	0.657790485376692		fructose degradation	carbohydrate degradation	monosaccharide degradation
Fusicatenibacter	MF0065	484	1.34428259369592	0.000218791050020883	0.0087954002108395		389	0.97527334958429	0.597402597402597	0.999000999000999		Bifidobacterium shunt	central metabolism	energy metabolism
Fusicatenibacter	MF0060	116	1.4483136035415	0.000544955479545218	0.015648007341227		50	0.755814056161244	0.91008991008991	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Fusicatenibacter	MF0097	53	0.853362483265595	0.816183816183816	0.999000999000999		59	1.58530208952568	0.00048084467974758	0.015648007341227		homoacetogenesis	gas metabolism	acetogenesis
Fusicatenibacter	MF0094	133	1.40734429211623	0.00120574033677733	0.0302942259615304		77	1.04784475182532	0.36963036963037	0.868674803457412		propionate production II	organic acid metabolism	propionate metabolism
Phocaeicola	MF0050	260	1.50217928258524	1.32623270419688e-06	0.000266572773543572		159	1.17289409898231	0.0769230769230769	0.377110694183865		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Phocaeicola	MF0012	275	1.46945445380806	4.52792460244858e-06	0.000455056422546082		188	0.785015130224753	0.963036963036963	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Phocaeicola	MF0049	435	1.43716268031441	8.68375663860929e-06	0.000581811694786823		320	1.05311744703192	0.304695304695305	0.849723447284423		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Phocaeicola	MF0015	448	1.34937732264847	0.000159842790839238	0.00803210023967171		404	1.08007185408896	0.217782217782218	0.69338474025974		fructose degradation	carbohydrate degradation	monosaccharide degradation
Phocaeicola	MF0065	483	1.33447466524093	0.000330377962607867	0.0132811940968363		389	0.969736289673936	0.618381618381618	0.999000999000999		Bifidobacterium shunt	central metabolism	energy metabolism
Phocaeicola	MF0097	54	0.803566337198948	0.868131868131868	0.999000999000999		59	1.58809818148208	0.00040784478718631	0.0136628003707414		homoacetogenesis	gas metabolism	acetogenesis
Phocaeicola	MF0060	116	1.42192125526208	0.000490003351736254	0.0140700962427124		50	0.761598538715989	0.905094905094905	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Phocaeicola	MF0094	133	1.38496173050819	0.000828876325615112	0.0208255176810797		77	1.05004623499187	0.36963036963037	0.870908161605836		propionate production II	organic acid metabolism	propionate metabolism
Dorea	MF0012	273	1.4827472486872	8.47170064188341e-07	8.38698363546458e-05						1 parallel job did not deliver a result	trehalose degradation	carbohydrate degradation	disaccharide degradation
Dorea	MF0050	256	1.50305102079012	2.28723127327298e-06	0.000113217948027013						1 parallel job did not deliver a result	threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Dorea	MF0049	432	1.43299052144188	3.76752604291461e-06	0.000124328359416182						1 parallel job did not deliver a result	threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Dorea	MF0015	445	1.35483933147598	9.87055077897646e-05	0.00244296131779667						1 parallel job did not deliver a result	fructose degradation	carbohydrate degradation	monosaccharide degradation
Dorea	MF0060	115	1.42780149625851	0.000865511378471491	0.0167922731883716						1 parallel job did not deliver a result	glycerol degradation I	lipid degradation	glycerol degradation
Dorea	MF0065	481	1.32779126118011	0.00109529309360562	0.0167922731883716						1 parallel job did not deliver a result	Bifidobacterium shunt	central metabolism	energy metabolism
Dorea	MF0094	130	1.39240348051063	0.00118733244766264	0.0167922731883716						1 parallel job did not deliver a result	propionate production II	organic acid metabolism	propionate metabolism
Dorea	MF0097	54	0.815180027320094	0.855144855144855	0.986013986013986						1 parallel job did not deliver a result	homoacetogenesis	gas metabolism	acetogenesis
Bacteroides	MF0012	274	1.45546777472127	4.1131613450739e-06	0.000489792903284501		183	0.782162741156743	0.98001998001998	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Bacteroides	MF0050	258	1.48256761097812	4.87356122671145e-06	0.000489792903284501		158	1.15386549704752	0.0929070929070929	0.424416492598311		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Bacteroides	MF0049	432	1.41845077981623	8.54481952027359e-06	0.000572502907858331		323	1.04242052206054	0.343656343656344	0.897548234897633		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Bacteroides	MF0015	448	1.33708330865966	0.000303036791116907	0.0101517325024164		404	1.098115838352	0.155844155844156	0.614209320091673		fructose degradation	carbohydrate degradation	monosaccharide degradation
Bacteroides	MF0065	475	1.35042471485539	0.000293923077053813	0.0101517325024164		380	0.966055977023873	0.615384615384615	1		Bifidobacterium shunt	central metabolism	energy metabolism
Bacteroides	MF0097	54	0.785910192997412	0.916083916083916	1		59	1.58776833036145	0.000303036791116907	0.0101517325024164		homoacetogenesis	gas metabolism	acetogenesis
Bacteroides	MF0060	116	1.41822527127131	0.00151867512498459	0.0381567125152378		50	0.764405522196043	0.909090909090909	1		glycerol degradation I	lipid degradation	glycerol degradation
Bacteroides	MF0094	133	1.37996540695763	0.00234939375828211	0.052469793934967		77	1.04495963965373	0.366633366633367	0.897548234897633		propionate production II	organic acid metabolism	propionate metabolism
Butyricicoccus	MF0050	260	1.50795536551325	7.96084875960145e-07	0.000160013060067989		159	1.1858791383285	0.0689310689310689	0.351398601398601		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Butyricicoccus	MF0012	274	1.46229267016551	2.14965612759177e-06	0.000216040440822973		186	0.781128274184494	0.975024975024975	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Butyricicoccus	MF0049	435	1.43709847171499	4.32054286736079e-06	0.000289476372113173		321	1.04750690336508	0.305694305694306	0.873355560102548		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Butyricicoccus	MF0015	447	1.35663901208261	0.000128101558114849	0.00514968263621692		402	1.09068439260119	0.175824175824176	0.642557442557443		fructose degradation	carbohydrate degradation	monosaccharide degradation
Butyricicoccus	MF0097	54	0.81085560116762	0.854145854145854	0.999000999000999		59	1.61166998309436	0.000125834333614198	0.00514968263621692		homoacetogenesis	gas metabolism	acetogenesis
Butyricicoccus	MF0065	484	1.33756185449088	0.000284809368655593	0.00954111384996238		389	0.98275434225675	0.56043956043956	0.993519523954306		Bifidobacterium shunt	central metabolism	energy metabolism
Butyricicoccus	MF0060	116	1.44444062409243	0.000444299823474529	0.0127577520740543		50	0.768059129792501	0.911088911088911	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Butyricicoccus	MF0094	132	1.38839986202848	0.00161071494698483	0.0404692130429939		75	1.02962449213579	0.403596403596404	0.883953003518221		propionate production II	organic acid metabolism	propionate metabolism
Faecalibacterium	MF0012	273	1.48418207219582	2.35601890650416e-06	0.000236779900103668		184	0.777799108407938	0.979020979020979	0.99998001998002		trehalose degradation	carbohydrate degradation	disaccharide degradation
Faecalibacterium	MF0050	260	1.50488380750666	1.97768746527125e-06	0.000236779900103668		159	1.17766160725384	0.0749250749250749	0.381518481518482		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Faecalibacterium	MF0049	435	1.44001528432821	4.80443386596656e-06	0.000321897069019759		316	1.03067743094472	0.387612387612388	0.905931278024301		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Faecalibacterium	MF0015	445	1.36670696737369	0.000143972156180359	0.00723460084806305		396	1.08056144763546	0.197802197802198	0.674816986292396		fructose degradation	carbohydrate degradation	monosaccharide degradation
Faecalibacterium	MF0097	54	0.805593570154496	0.877122877122877	0.99998001998002		59	1.60661689205328	0.000225592784374047	0.00906882993183668		homoacetogenesis	gas metabolism	acetogenesis
Faecalibacterium	MF0065	484	1.33282161440694	0.00042151542226635	0.0141207666459227		387	0.974146836302478	0.601398601398601	0.99998001998002		Bifidobacterium shunt	central metabolism	energy metabolism
Faecalibacterium	MF0060	116	1.43073060788029	0.000709812531060426	0.0203817598204494		50	0.775076941751697	0.904095904095904	0.99998001998002		glycerol degradation I	lipid degradation	glycerol degradation
Faecalibacterium	MF0094	133	1.38962498437423	0.00148185921466055	0.0372317127683464		77	1.05494959599644	0.351648351648352	0.901205936920223		propionate production II	organic acid metabolism	propionate metabolism
Anaerobutyricum	MF0050	260	1.51099196765729	6.25801184950357e-07	0.000125786038175022		159	1.17687333086432	0.0869130869130869	0.410937899309992		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Anaerobutyricum	MF0012	275	1.47520751630729	5.4957081387931e-06	0.000368212445299138		188	0.787216936563182	0.975024975024975	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Anaerobutyricum	MF0049	434	1.44441293090851	4.4587973356074e-06	0.000368212445299138		323	1.04438904857059	0.317682317682318	0.874592074592075		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Anaerobutyricum	MF0015	446	1.35905975891048	0.000125834333614198	0.00632317526411342		404	1.08201836749666	0.191808191808192	0.683421841316578		fructose degradation	carbohydrate degradation	monosaccharide degradation
Anaerobutyricum	MF0065	483	1.33879679695302	0.000257468283464926	0.00862518749607502		389	0.971924398944418	0.609390609390609	1		Bifidobacterium shunt	central metabolism	energy metabolism
Anaerobutyricum	MF0097	54	0.807780765428045	0.875124875124875	1		59	1.58869800886821	0.000257468283464926	0.00862518749607502		homoacetogenesis	gas metabolism	acetogenesis
Anaerobutyricum	MF0060	114	1.45329556247601	0.000673177567682334	0.0193298130148784		50	0.760722868955923	0.902097902097902	1		glycerol degradation I	lipid degradation	glycerol degradation
Anaerobutyricum	MF0094	133	1.40003666838876	0.00161071494698483	0.0404692130429939		77	1.04594181068532	0.373626373626374	0.874592074592075		propionate production II	organic acid metabolism	propionate metabolism
Clostridium	MF0012	263	1.47124363842681	4.87356122671145e-06	0.000358949362833639		186	0.790096807449936	0.968031968031968	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Clostridium	MF0049	423	1.42768118797117	5.35745317662147e-06	0.000358949362833639		310	1.00525729208551	0.467532467532468	0.955317409862864		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Clostridium	MF0050	253	1.48817696471296	3.69839908206845e-06	0.000358949362833639		156	1.17751156660175	0.0809190809190809	0.387255601541316		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Clostridium	MF0015	436	1.35965065275763	9.75774571922345e-05	0.00490326722390978		393	1.08989465413842	0.184815184815185	0.639834741529657		fructose degradation	carbohydrate degradation	monosaccharide degradation
Clostridium	MF0065	470	1.34153295788779	0.000180247930759117	0.00626616332255585		379	0.978417467539459	0.566433566433567	1		Bifidobacterium shunt	central metabolism	energy metabolism
Clostridium	MF0097	53	0.798705413424354	0.899100899100899	1		59	1.59594877210524	0.000187049651419578	0.00626616332255585		homoacetogenesis	gas metabolism	acetogenesis
Clostridium	MF0060	112	1.48088425114674	0.000330377962607867	0.00948656721202591		48	0.736598343715874	0.92007992007992	1		glycerol degradation I	lipid degradation	glycerol degradation
Clostridium	MF0094	129	1.40582909229184	0.00155549104624117	0.0390817125368095		76	1.04701517878061	0.3996003996004	0.923214716318165		propionate production II	organic acid metabolism	propionate metabolism
Subdoligranulum	MF0050	260	1.50722223938377	6.51343704192058e-07	0.000130920084542604		159	1.17950019044449	0.0889110889110889	0.415607648165788		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Subdoligranulum	MF0012	275	1.47051003588638	3.97490713155087e-06	0.000399478166720862		188	0.789818788291015	0.972027972027972	0.99998001998002		trehalose degradation	carbohydrate degradation	disaccharide degradation
Subdoligranulum	MF0049	436	1.44196637890074	1.35465752402808e-05	0.000907620541098816		322	1.03761622520496	0.350649350649351	0.883060121696486		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Subdoligranulum	MF0015	448	1.36087438596691	0.000175713452177056	0.00882960097189707		403	1.08188292943947	0.215784215784216	0.709274596371371		fructose degradation	carbohydrate degradation	monosaccharide degradation
Subdoligranulum	MF0065	485	1.34195351199749	0.000330377962607867	0.0110676617473636		388	0.970937678825671	0.611388611388611	0.99998001998002		Bifidobacterium shunt	central metabolism	energy metabolism
Subdoligranulum	MF0097	54	0.81049778912873	0.867132867132867	0.99998001998002		59	1.59411323312328	0.000298479933409678	0.0110676617473636		homoacetogenesis	gas metabolism	acetogenesis
Subdoligranulum	MF0060	116	1.43084549749743	0.000883828910447924	0.0253785158571475		50	0.766805214266976	0.894105894105894	0.99998001998002		glycerol degradation I	lipid degradation	glycerol degradation
Subdoligranulum	MF0094	133	1.39413842442696	0.00312634456219275	0.0698216952223048		77	1.0524904447316	0.370629370629371	0.883060121696486		propionate production II	organic acid metabolism	propionate metabolism
Coprococcus	MF0050	257	1.51272989619026	1.34334514834812e-06	0.000270012374817972		158	1.18289023845505	0.056943056943057	0.345820845820846		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Coprococcus	MF0012	275	1.48110652231742	7.9890715706624e-06	0.000535267795234381		188	0.787739208888393	0.971028971028971	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Coprococcus	MF0049	434	1.44538851532978	5.84134573782993e-06	0.000535267795234381		320	1.05468856293673	0.292707292707293	0.82865022301642		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Coprococcus	MF0015	445	1.3523036658351	0.000198385859103917	0.00996888941997182		401	1.08650524579197	0.178821178821179	0.63057994636942		fructose degradation	carbohydrate degradation	monosaccharide degradation
Coprococcus	MF0097	54	0.811588919890872	0.863136863136863	1		59	1.57834139420217	0.00036683291271202	0.0147466830910232		homoacetogenesis	gas metabolism	acetogenesis
Coprococcus	MF0060	115	1.44499526545197	0.000590749021584325	0.0182778670948863		50	0.762115144562056	0.911088911088911	1		glycerol degradation I	lipid degradation	glycerol degradation
Coprococcus	MF0065	482	1.33151581764678	0.000636542635145292	0.0182778670948863		387	0.972961280932777	0.601398601398601	1		Bifidobacterium shunt	central metabolism	energy metabolism
Coprococcus	MF0094	132	1.41462499105976	0.00124255613114105	0.0312192227949188		75	1.08421552824926	0.292707292707293	0.82865022301642		propionate production II	organic acid metabolism	propionate metabolism
Collinsella	MF0050	254	1.51992595289282	7.70542293221527e-07	0.000154879000937527		159	1.17195170445311	0.0889110889110889	0.435881191978753		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Collinsella	MF0012	273	1.49290834922925	3.25026056170167e-06	0.000326651186451018		188	0.788411378092943	0.969030969030969	0.998001998001998		trehalose degradation	carbohydrate degradation	disaccharide degradation
Collinsella	MF0049	431	1.44447806271427	5.84134573782993e-06	0.000391370164434605		323	1.04385106823729	0.337662337662338	0.873932885296522		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Collinsella	MF0015	441	1.35854280841588	0.00015530832071387	0.00780424311587195		403	1.08351857287711	0.203796203796204	0.67152519611536		fructose degradation	carbohydrate degradation	monosaccharide degradation
Collinsella	MF0065	479	1.34228918468888	0.000321264234309508	0.0129148222192422		388	0.972790330609828	0.597402597402597	0.998001998001998		Bifidobacterium shunt	central metabolism	energy metabolism
Collinsella	MF0097	54	0.811352378141838	0.852147852147852	0.998001998001998		59	1.59103119653571	0.00042151542226635	0.0141207666459227		homoacetogenesis	gas metabolism	acetogenesis
Collinsella	MF0094	133	1.40285877197698	0.000581590306914199	0.0166999502413934		77	1.05164645752564	0.376623376623377	0.873932885296522		propionate production II	organic acid metabolism	propionate metabolism
Collinsella	MF0060	113	1.45893774122844	0.000673177567682334	0.0169135863880186		49	0.745994330688488	0.915084915084915	0.998001998001998		glycerol degradation I	lipid degradation	glycerol degradation
Ruthenibacterium	MF0012	274	1.46714388342159	3.42223045560691e-06	0.000343934160788495		188	0.784513597867914	0.971028971028971	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Ruthenibacterium	MF0050	259	1.5019502166599	3.0438968026664e-06	0.000343934160788495		159	1.1730611875405	0.0859140859140859	0.420722135007849		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Ruthenibacterium	MF0049	435	1.43675458001581	5.42658065175288e-06	0.000363580903667443		323	1.04390955450236	0.323676323676324	0.883084657278206		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Ruthenibacterium	MF0015	447	1.35651533548285	0.000175713452177056	0.00882960097189707		404	1.08515623453646	0.207792207792208	0.696103896103896		fructose degradation	carbohydrate degradation	monosaccharide degradation
Ruthenibacterium	MF0065	484	1.33571298958399	0.000252911442712927	0.0101670399970597		389	0.973643361313504	0.605394605394606	0.999000999000999		Bifidobacterium shunt	central metabolism	energy metabolism
Ruthenibacterium	MF0097	54	0.809160134469326	0.868131868131868	0.999000999000999		59	1.59400610405291	0.000325821097939234	0.0109150067809643		homoacetogenesis	gas metabolism	acetogenesis
Ruthenibacterium	MF0060	116	1.43032935455144	0.000554114181380259	0.0159109929224903		50	0.764690271500835	0.911088911088911	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Ruthenibacterium	MF0094	132	1.3770577972795	0.00151867512498459	0.0381567125152378		77	1.05236914022945	0.374625374625375	0.883084657278206		propionate production II	organic acid metabolism	propionate metabolism
Oscillibacter	MF0050	260	1.51680798477077	3.87614149765029e-07	7.79104441027708e-05		157	1.13942941129694	0.132867132867133	0.561418173663072		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Oscillibacter	MF0012	275	1.48275590983021	2.14965612759177e-06	0.000213158666022731		188	0.791045752694011	0.979020979020979	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Oscillibacter	MF0049	435	1.44436623458492	3.18147262720494e-06	0.000213158666022731		323	1.05616877628707	0.257742257742258	0.80065504116137		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Oscillibacter	MF0015	448	1.37098152100051	7.1632347424147e-05	0.00359952545806339		404	1.09514552173303	0.163836163836164	0.602397602397602		fructose degradation	carbohydrate degradation	monosaccharide degradation
Oscillibacter	MF0065	483	1.33940632042717	0.000293923077053813	0.00984642308130273		388	0.97685319226196	0.588411588411588	1		Bifidobacterium shunt	central metabolism	energy metabolism
Oscillibacter	MF0097	54	0.819703422822532	0.864135864135864	1		59	1.60968294728651	0.000248354604182293	0.00984642308130273		homoacetogenesis	gas metabolism	acetogenesis
Oscillibacter	MF0060	114	1.41481429213895	0.000801400046680862	0.0230116299118362		50	0.770373494597861	0.897102897102897	1		glycerol degradation I	lipid degradation	glycerol degradation
Oscillibacter	MF0094	130	1.35135308516785	0.00286736059765489	0.0576339480128633		77	1.05931425987336	0.338661338661339	0.826277171104757		propionate production II	organic acid metabolism	propionate metabolism
Coprobacillus	MF0050	258	1.50403207677835	1.0182093830105e-06	0.000204660085985111		159	1.178337773155	0.0659340659340659	0.354040696145959		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Coprobacillus	MF0012	273	1.46875207481246	6.32523877005058e-06	0.000635686496390083		188	0.789759200659218	0.961038961038961	0.99998001998002		trehalose degradation	carbohydrate degradation	disaccharide degradation
Coprobacillus	MF0049	434	1.43579641558216	1.09067557495137e-05	0.000730752635217421		323	1.04632079581637	0.330669330669331	0.872437906920666		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Coprobacillus	MF0015	446	1.35800526954468	0.00015530832071387	0.00780424311587195		404	1.08648563079784	0.188811188811189	0.643238117814389		fructose degradation	carbohydrate degradation	monosaccharide degradation
Coprobacillus	MF0097	54	0.815519494978888	0.852147852147852	0.99998001998002		59	1.60538957239421	0.000307593650115447	0.012365264734641		homoacetogenesis	gas metabolism	acetogenesis
Coprobacillus	MF0065	483	1.34003575835301	0.000448856704998447	0.015036699617448		389	0.9751295404045	0.598401598401599	0.99998001998002		Bifidobacterium shunt	central metabolism	energy metabolism
Coprobacillus	MF0060	116	1.45076763232085	0.000618225182155339	0.0177518945161747		50	0.765919175477189	0.91008991008991	0.99998001998002		glycerol degradation I	lipid degradation	glycerol degradation
Coprobacillus	MF0094	133	1.41497688079935	0.00144504331610459	0.0363067133171279		77	1.05511401913395	0.363636363636364	0.872437906920666		propionate production II	organic acid metabolism	propionate metabolism
Parabacteroides	MF0050	259	1.50722816762947	1.70270701964366e-06	0.000342244110948376		158	1.17462512391881	0.0809190809190809	0.396700860115494		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Parabacteroides	MF0049	432	1.44191139264748	3.83665303934798e-06	0.000385583630454472		320	1.03725408228285	0.338661338661339	0.824970210512379		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Parabacteroides	MF0012	275	1.47017571686809	7.43332459996087e-06	0.000498032748197379		188	0.771645411454859	0.981018981018981	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
Parabacteroides	MF0015	448	1.36090510845046	0.000128101558114849	0.00643710329527115		404	1.07203796500529	0.242757242757243	0.749250749250749		fructose degradation	carbohydrate degradation	monosaccharide degradation
Parabacteroides	MF0065	480	1.34959803357934	0.000211989317561616	0.00852197056597695		388	0.96607215836596	0.616383616383616	1		Bifidobacterium shunt	central metabolism	energy metabolism
Parabacteroides	MF0097	54	0.812604866543162	0.873126873126873	1		59	1.58513604537484	0.000554114181380259	0.0185628250762387		homoacetogenesis	gas metabolism	acetogenesis
Parabacteroides	MF0060	116	1.42786554331893	0.000682336305829537	0.0195927996388196		50	0.754629861788807	0.927072927072927	1		glycerol degradation I	lipid degradation	glycerol degradation
Parabacteroides	MF0094	133	1.38752264068293	0.00100325392285567	0.0252067548117487		77	1.04458626453736	0.368631368631369	0.846379427024588		propionate production II	organic acid metabolism	propionate metabolism
Gemmiger	MF0050	260	1.52137446680026	3.91850328045407e-07	3.87931824764953e-05						1 parallel job did not deliver a result	threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Gemmiger	MF0012	274	1.47914663805196	5.21919826397773e-06	0.000172233542711265						1 parallel job did not deliver a result	trehalose degradation	carbohydrate degradation	disaccharide degradation
Gemmiger	MF0049	435	1.4398316621888	5.15007082747518e-06	0.000172233542711265						1 parallel job did not deliver a result	threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Gemmiger	MF0015	447	1.36066000785263	0.000123567110218771	0.00305828597791458						1 parallel job did not deliver a result	fructose degradation	carbohydrate degradation	monosaccharide degradation
Gemmiger	MF0065	484	1.34396674406544	0.000353162300127238	0.00699261354251932						1 parallel job did not deliver a result	Bifidobacterium shunt	central metabolism	energy metabolism
Gemmiger	MF0060	116	1.44961132623553	0.000664018831457345	0.0109563107190462						1 parallel job did not deliver a result	glycerol degradation I	lipid degradation	glycerol degradation
